leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2015",2015-04-04,1,"Hammarby IF","BK Häcken",2,0,30278
"Allsvenskan 2015",2015-04-04,1,"Kalmar FF","Helsingborgs IF",0,0,8132
"Allsvenskan 2015",2015-04-05,1,"Djurgårdens IF","IF Elfsborg",1,2,20530
"Allsvenskan 2015",2015-04-05,1,"Falkenbergs FF","Gefle IF",0,2,3310
"Allsvenskan 2015",2015-04-05,1,"IFK Göteborg","Åtvidabergs FF",1,0,15118
"Allsvenskan 2015",2015-04-05,1,"IFK Norrköping","Örebro SK",1,1,8220
"Allsvenskan 2015",2015-04-06,1,AIK,"Halmstads BK",2,1,23840
"Allsvenskan 2015",2015-04-06,1,"GIF Sundsvall","Malmö FF",1,4,7850
"Allsvenskan 2015",2015-04-08,2,"Gefle IF","Kalmar FF",2,0,3294
"Allsvenskan 2015",2015-04-08,2,"Helsingborgs IF","Falkenbergs FF",0,0,7053
"Allsvenskan 2015",2015-04-08,2,"IF Elfsborg","Hammarby IF",1,1,11264
"Allsvenskan 2015",2015-04-08,2,"Örebro SK","IFK Göteborg",0,2,8121
"Allsvenskan 2015",2015-04-09,2,"BK Häcken","Djurgårdens IF",1,1,3417
"Allsvenskan 2015",2015-04-09,2,"Halmstads BK","IFK Norrköping",0,3,4308
"Allsvenskan 2015",2015-04-09,2,"Malmö FF",AIK,0,0,22337
"Allsvenskan 2015",2015-04-09,2,"Åtvidabergs FF","GIF Sundsvall",2,3,3384
"Allsvenskan 2015",2015-04-12,3,AIK,"Gefle IF",3,1,13722
"Allsvenskan 2015",2015-04-12,3,"Falkenbergs FF","Örebro SK",2,0,2070
"Allsvenskan 2015",2015-04-12,3,"Halmstads BK","Helsingborgs IF",1,2,5027
"Allsvenskan 2015",2015-04-12,3,"IFK Göteborg","Malmö FF",0,1,16894
"Allsvenskan 2015",2015-04-13,3,"GIF Sundsvall","BK Häcken",1,1,3247
"Allsvenskan 2015",2015-04-13,3,"Hammarby IF","Djurgårdens IF",2,1,27597
"Allsvenskan 2015",2015-04-13,3,"IFK Norrköping","IF Elfsborg",0,4,5665
"Allsvenskan 2015",2015-04-13,3,"Kalmar FF","Åtvidabergs FF",2,1,4081
"Allsvenskan 2015",2015-04-17,4,"Djurgårdens IF","Kalmar FF",1,0,10369
"Allsvenskan 2015",2015-04-18,4,"Gefle IF","Halmstads BK",0,0,2454
"Allsvenskan 2015",2015-04-19,4,"BK Häcken","IFK Göteborg",1,2,9237
"Allsvenskan 2015",2015-04-19,4,"Åtvidabergs FF","Falkenbergs FF",3,1,2279
"Allsvenskan 2015",2015-04-20,4,"Helsingborgs IF","IFK Norrköping",3,1,6848
"Allsvenskan 2015",2015-04-20,4,"Malmö FF","Hammarby IF",3,1,19849
"Allsvenskan 2015",2015-04-20,4,"Örebro SK","GIF Sundsvall",1,3,5908
"Allsvenskan 2015",2015-04-21,4,"IF Elfsborg",AIK,3,2,8444
"Allsvenskan 2015",2015-04-24,5,"Falkenbergs FF","Malmö FF",3,3,4492
"Allsvenskan 2015",2015-04-25,5,"Hammarby IF","Åtvidabergs FF",2,1,25167
"Allsvenskan 2015",2015-04-26,5,AIK,"Örebro SK",3,0,14331
"Allsvenskan 2015",2015-04-26,5,"GIF Sundsvall","Djurgårdens IF",0,2,6510
"Allsvenskan 2015",2015-04-26,5,"Halmstads BK","IF Elfsborg",1,0,5103
"Allsvenskan 2015",2015-04-26,5,"Kalmar FF","BK Häcken",0,1,4846
"Allsvenskan 2015",2015-04-27,5,"IFK Göteborg","Helsingborgs IF",3,1,12287
"Allsvenskan 2015",2015-04-27,5,"IFK Norrköping","Gefle IF",4,1,5317
"Allsvenskan 2015",2015-04-29,6,"Djurgårdens IF","Falkenbergs FF",3,1,9076
"Allsvenskan 2015",2015-04-29,6,"IF Elfsborg","Kalmar FF",2,1,6782
"Allsvenskan 2015",2015-04-29,6,"Malmö FF","Halmstads BK",3,1,16215
"Allsvenskan 2015",2015-04-29,6,"Åtvidabergs FF",AIK,1,1,5215
"Allsvenskan 2015",2015-04-30,6,"BK Häcken","IFK Norrköping",0,2,1826
"Allsvenskan 2015",2015-04-30,6,"Gefle IF","IFK Göteborg",0,0,4066
"Allsvenskan 2015",2015-04-30,6,"Helsingborgs IF","GIF Sundsvall",2,0,5032
"Allsvenskan 2015",2015-04-30,6,"Örebro SK","Hammarby IF",2,2,10486
"Allsvenskan 2015",2015-05-03,7,"Djurgårdens IF","Gefle IF",5,1,11190
"Allsvenskan 2015",2015-05-03,7,"GIF Sundsvall","IF Elfsborg",0,1,3858
"Allsvenskan 2015",2015-05-03,7,"IFK Norrköping","Åtvidabergs FF",2,1,9654
"Allsvenskan 2015",2015-05-03,7,"Malmö FF","Helsingborgs IF",3,1,21626
"Allsvenskan 2015",2015-05-04,7,AIK,"Hammarby IF",2,0,40011
"Allsvenskan 2015",2015-05-04,7,"Halmstads BK","BK Häcken",0,2,3167
"Allsvenskan 2015",2015-05-04,7,"IFK Göteborg","Falkenbergs FF",2,1,9501
"Allsvenskan 2015",2015-05-04,7,"Kalmar FF","Örebro SK",3,0,3703
"Allsvenskan 2015",2015-05-08,8,"Kalmar FF","IFK Göteborg",0,2,6763
"Allsvenskan 2015",2015-05-09,8,"Helsingborgs IF","Gefle IF",1,2,6833
"Allsvenskan 2015",2015-05-10,8,AIK,"IFK Norrköping",2,2,13123
"Allsvenskan 2015",2015-05-10,8,"BK Häcken","Örebro SK",2,0,1431
"Allsvenskan 2015",2015-05-10,8,"Falkenbergs FF","Halmstads BK",1,0,4264
"Allsvenskan 2015",2015-05-11,8,"Hammarby IF","GIF Sundsvall",1,2,21535
"Allsvenskan 2015",2015-05-11,8,"IF Elfsborg","Malmö FF",2,2,12400
"Allsvenskan 2015",2015-05-11,8,"Åtvidabergs FF","Djurgårdens IF",2,3,4346
"Allsvenskan 2015",2015-05-18,9,"Halmstads BK","Djurgårdens IF",2,3,3855
"Allsvenskan 2015",2015-05-19,9,"Falkenbergs FF","Kalmar FF",1,3,2430
"Allsvenskan 2015",2015-05-20,9,"Gefle IF","GIF Sundsvall",3,1,6357
"Allsvenskan 2015",2015-05-20,9,"IF Elfsborg","Helsingborgs IF",2,1,8834
"Allsvenskan 2015",2015-05-20,9,"IFK Norrköping","Hammarby IF",1,0,13814
"Allsvenskan 2015",2015-05-20,9,"Örebro SK","Åtvidabergs FF",2,1,5202
"Allsvenskan 2015",2015-05-21,9,"IFK Göteborg",AIK,3,0,14682
"Allsvenskan 2015",2015-05-21,9,"Malmö FF","BK Häcken",0,3,14148
"Allsvenskan 2015",2015-05-24,10,"Halmstads BK","IFK Göteborg",1,2,6136
"Allsvenskan 2015",2015-05-24,10,"Kalmar FF","Malmö FF",2,1,7797
"Allsvenskan 2015",2015-05-24,10,"Åtvidabergs FF","IF Elfsborg",1,2,4327
"Allsvenskan 2015",2015-05-24,10,"Örebro SK","Gefle IF",1,0,5217
"Allsvenskan 2015",2015-05-25,10,"BK Häcken","Falkenbergs FF",0,2,2214
"Allsvenskan 2015",2015-05-25,10,"Djurgårdens IF",AIK,2,2,27137
"Allsvenskan 2015",2015-05-25,10,"GIF Sundsvall","IFK Norrköping",0,1,4232
"Allsvenskan 2015",2015-05-25,10,"Helsingborgs IF","Hammarby IF",1,0,8689
"Allsvenskan 2015",2015-05-29,11,"Gefle IF","BK Häcken",2,0,3510
"Allsvenskan 2015",2015-05-30,11,"Falkenbergs FF","GIF Sundsvall",1,1,2147
"Allsvenskan 2015",2015-05-30,11,"Hammarby IF","Halmstads BK",2,2,21688
"Allsvenskan 2015",2015-05-30,11,"IFK Norrköping","Kalmar FF",2,1,5690
"Allsvenskan 2015",2015-05-31,11,AIK,"Helsingborgs IF",3,1,12512
"Allsvenskan 2015",2015-05-31,11,"IF Elfsborg","Örebro SK",2,2,7167
"Allsvenskan 2015",2015-05-31,11,"Malmö FF","Åtvidabergs FF",3,0,16063
"Allsvenskan 2015",2015-06-01,11,"IFK Göteborg","Djurgårdens IF",0,0,14598
"Allsvenskan 2015",2015-06-03,12,AIK,"Falkenbergs FF",4,3,10701
