leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2016",2016-04-02,1,"Kalmar FF","Jönköpings Södra IF",0,1,10177
"Allsvenskan 2016",2016-04-02,1,"Malmö FF","IFK Norrköping",3,1,21085
"Allsvenskan 2016",2016-04-03,1,"AIK","GIF Sundsvall",1,1,23480
"Allsvenskan 2016",2016-04-03,1,"BK Häcken","IF Elfsborg",2,1,5916
"Allsvenskan 2016",2016-04-03,1,"Falkenbergs FF","IFK Göteborg",0,2,5326
"Allsvenskan 2016",2016-04-03,1,"Gefle IF","Helsingborgs IF",1,1,3344
"Allsvenskan 2016",2016-04-03,1,"Örebro SK","Djurgårdens IF",0,2,11247
"Allsvenskan 2016",2016-04-04,1,"Hammarby IF","Östersunds FK",1,1,31756
"Allsvenskan 2016",2016-04-06,2,"IFK Göteborg","BK Häcken",1,0,14583
"Allsvenskan 2016",2016-04-06,2,"IFK Norrköping","Kalmar FF",4,1,9786
"Allsvenskan 2016",2016-04-06,2,"Jönköpings Södra IF","Malmö FF",3,2,6321
"Allsvenskan 2016",2016-04-07,2,"Djurgårdens IF","Falkenbergs FF",5,0,15134
"Allsvenskan 2016",2016-04-07,2,"GIF Sundsvall","Gefle IF",1,2,4120
"Allsvenskan 2016",2016-04-07,2,"Helsingborgs IF","Örebro SK",1,3,6214
"Allsvenskan 2016",2016-04-07,2,"IF Elfsborg","Hammarby IF",4,1,8869
"Allsvenskan 2016",2016-04-07,2,"Östersunds FK","AIK",0,2,7371
"Allsvenskan 2016",2016-04-09,3,"BK Häcken","IFK Norrköping",1,2,3453
"Allsvenskan 2016",2016-04-10,3,"Falkenbergs FF","Östersunds FK",1,2,2456
"Allsvenskan 2016",2016-04-10,3,"Gefle IF","Djurgårdens IF",1,2,5042
"Allsvenskan 2016",2016-04-10,3,"Hammarby IF","Helsingborgs IF",5,1,20516
"Allsvenskan 2016",2016-04-10,3,"Kalmar FF","IF Elfsborg",3,2,4989
"Allsvenskan 2016",2016-04-11,3,"AIK","IFK Göteborg",3,3,19222
"Allsvenskan 2016",2016-04-11,3,"Malmö FF","GIF Sundsvall",1,2,13747
"Allsvenskan 2016",2016-04-11,3,"Örebro SK","Jönköpings Södra IF",2,1,7753
"Allsvenskan 2016",2016-04-15,4,"Östersunds FK","BK Häcken",2,1,4524
"Allsvenskan 2016",2016-04-16,4,"Helsingborgs IF","Falkenbergs FF",3,1,7064
"Allsvenskan 2016",2016-04-17,4,"IFK Göteborg","Kalmar FF",1,1,11871
"Allsvenskan 2016",2016-04-17,4,"IFK Norrköping","AIK",4,1,14150
"Allsvenskan 2016",2016-04-17,4,"Jönköpings Södra IF","Gefle IF",1,0,3482
"Allsvenskan 2016",2016-04-18,4,"GIF Sundsvall","Örebro SK",3,1,3428
"Allsvenskan 2016",2016-04-18,4,"IF Elfsborg","Malmö FF",0,1,8512
"Allsvenskan 2016",2016-04-19,4,"Djurgårdens IF","Hammarby IF",1,3,24900
"Allsvenskan 2016",2016-04-22,5,"Falkenbergs FF","IFK Norrköping",2,1,2444
"Allsvenskan 2016",2016-04-23,5,"Gefle IF","Östersunds FK",0,0,3078
"Allsvenskan 2016",2016-04-23,5,"Hammarby IF","Jönköpings Södra IF",1,1,24131
"Allsvenskan 2016",2016-04-24,5,"BK Häcken","GIF Sundsvall",0,1,2022
"Allsvenskan 2016",2016-04-24,5,"Malmö FF","Djurgårdens IF",1,0,18734
"Allsvenskan 2016",2016-04-24,5,"Örebro SK","IFK Göteborg",3,2,8451
"Allsvenskan 2016",2016-04-25,5,"AIK","IF Elfsborg",2,1,13422
"Allsvenskan 2016",2016-04-25,5,"Kalmar FF","Helsingborgs IF",2,3,4901
"Allsvenskan 2016",2016-04-26,6,"IFK Norrköping","Hammarby IF",3,1,15030
"Allsvenskan 2016",2016-04-27,6,"IFK Göteborg","Malmö FF",0,3,15748
"Allsvenskan 2016",2016-04-27,6,"Jönköpings Södra IF","Falkenbergs FF",1,1,4236
"Allsvenskan 2016",2016-04-27,6,"Östersunds FK","Örebro SK",2,4,4099
