leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2012",2012-03-31,1,"IF Elfsborg","Djurgårdens IF",2,1,13673
"Allsvenskan 2012",2012-04-02,1,"IFK Norrköping","Helsingborgs IF",1,0,8225
"Allsvenskan 2012",2012-04-02,1,"Malmö FF","Gefle IF",0,0,16632
"Allsvenskan 2012",2012-04-02,1,"Örebro SK","Åtvidabergs FF",3,4,6729
"Allsvenskan 2012",2012-03-31,1,"GIF Sundsvall","Kalmar FF",0,1,4836
"Allsvenskan 2012",2012-03-31,1,GAIS,"BK Häcken",0,0,9561
"Allsvenskan 2012",2012-04-01,1,"Syrianska FC","IFK Göteborg",2,1,4451
"Allsvenskan 2012",2012-04-01,1,AIK,"Mjällby AIF",0,0,20557
"Allsvenskan 2012",2012-04-06,2,"Åtvidabergs FF",GAIS,2,1,4113
"Allsvenskan 2012",2012-04-07,2,"BK Häcken","Malmö FF",5,0,4108
"Allsvenskan 2012",2012-04-08,2,"Djurgårdens IF","GIF Sundsvall",1,0,11742
"Allsvenskan 2012",2012-04-08,2,"Helsingborgs IF","IF Elfsborg",2,1,13107
"Allsvenskan 2012",2012-04-09,2,"IFK Göteborg","IFK Norrköping",1,2,15334
"Allsvenskan 2012",2012-04-09,2,"Kalmar FF",AIK,1,2,10079
"Allsvenskan 2012",2012-04-07,2,"Mjällby AIF","Örebro SK",0,0,3409
"Allsvenskan 2012",2012-04-06,2,"Gefle IF","Syrianska FC",1,1,4612
"Allsvenskan 2012",2012-04-11,3,"Örebro SK","Helsingborgs IF",0,0,5612
"Allsvenskan 2012",2012-04-12,3,AIK,"IFK Göteborg",1,1,15702
"Allsvenskan 2012",2012-04-13,3,"Malmö FF","Kalmar FF",2,0,12533
"Allsvenskan 2012",2012-04-11,3,GAIS,"Djurgårdens IF",0,0,4470
"Allsvenskan 2012",2012-04-12,3,"GIF Sundsvall","Syrianska FC",4,0,3371
"Allsvenskan 2012",2012-04-12,3,"IF Elfsborg","IFK Norrköping",2,0,7413
"Allsvenskan 2012",2012-04-10,3,"Åtvidabergs FF","Gefle IF",6,1,2863
"Allsvenskan 2012",2012-04-12,3,"BK Häcken","Mjällby AIF",4,2,2471
"Allsvenskan 2012",2012-04-15,4,"Syrianska FC",AIK,0,1,3093
"Allsvenskan 2012",2012-04-15,4,"IFK Göteborg","Örebro SK",2,2,10039
"Allsvenskan 2012",2012-04-16,4,"Djurgårdens IF","Malmö FF",2,3,9582
"Allsvenskan 2012",2012-04-16,4,"Helsingborgs IF",GAIS,1,1,8102
"Allsvenskan 2012",2012-04-16,4,"IFK Norrköping","GIF Sundsvall",2,2,5271
"Allsvenskan 2012",2012-04-16,4,"Kalmar FF","BK Häcken",3,1,5051
"Allsvenskan 2012",2012-04-16,4,"Gefle IF","IF Elfsborg",1,2,2890
"Allsvenskan 2012",2012-04-15,4,"Mjällby AIF","Åtvidabergs FF",2,0,2831
"Allsvenskan 2012",2012-04-20,5,"Mjällby AIF","Djurgårdens IF",4,3,3022
"Allsvenskan 2012",2012-04-23,5,"BK Häcken","IFK Göteborg",1,2,6040
"Allsvenskan 2012",2012-04-22,5,GAIS,"IFK Norrköping",2,0,4100
"Allsvenskan 2012",2012-04-23,5,"Malmö FF","Syrianska FC",2,0,11640
"Allsvenskan 2012",2012-04-23,5,"Örebro SK","IF Elfsborg",0,2,8023
"Allsvenskan 2012",2012-04-22,5,AIK,"GIF Sundsvall",1,1,9771
