leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1981",1981-04-20,1,"Djurgårdens IF","IK Brage",1,2,3770
"Allsvenskan 1981",1981-04-20,1,"IFK Göteborg","IFK Sundsvall",0,1,11945
"Allsvenskan 1981",1981-04-20,1,"Halmstads BK",AIK,1,0,6067
"Allsvenskan 1981",1981-04-20,1,"Hammarby IF","Östers IF",0,1,8518
"Allsvenskan 1981",1981-04-20,1,"Kalmar FF","Örgryte IS",2,1,4295
"Allsvenskan 1981",1981-04-20,1,"Malmö FF","Åtvidabergs FF",1,1,5749
"Allsvenskan 1981",1981-04-20,1,"IFK Norrköping","IF Elfsborg",1,1,4484
"Allsvenskan 1981",1981-04-25,2,AIK,"IFK Norrköping",1,1,6184
"Allsvenskan 1981",1981-04-25,2,"IK Brage","Malmö FF",1,0,5948
"Allsvenskan 1981",1981-04-25,2,"IF Elfsborg","Hammarby IF",3,2,4554
"Allsvenskan 1981",1981-04-25,2,"IFK Sundsvall","Kalmar FF",4,1,3953
"Allsvenskan 1981",1981-04-25,2,"Åtvidabergs FF","Halmstads BK",2,1,1748
"Allsvenskan 1981",1981-04-25,2,"Örgryte IS","Djurgårdens IF",3,1,3753
"Allsvenskan 1981",1981-04-25,2,"Östers IF","IFK Göteborg",2,1,5023
"Allsvenskan 1981",1981-05-03,3,"IF Elfsborg","Åtvidabergs FF",0,1,5260
"Allsvenskan 1981",1981-05-03,3,"IFK Göteborg","Djurgårdens IF",0,1,9507
"Allsvenskan 1981",1981-05-03,3,"Hammarby IF","Malmö FF",4,4,7781
"Allsvenskan 1981",1981-05-03,3,"IFK Norrköping","Halmstads BK",2,0,3419
"Allsvenskan 1981",1981-05-03,3,"IFK Sundsvall","Örgryte IS",0,3,4155
"Allsvenskan 1981",1981-05-03,3,"Östers IF","IK Brage",2,0,4125
"Allsvenskan 1981",1981-05-04,3,AIK,"Kalmar FF",3,1,5534
"Allsvenskan 1981",1981-05-10,4,"IK Brage","IF Elfsborg",2,1,5416
"Allsvenskan 1981",1981-05-10,4,"Djurgårdens IF","IFK Sundsvall",0,1,5708
"Allsvenskan 1981",1981-05-10,4,"Halmstads BK","Hammarby IF",2,0,6065
"Allsvenskan 1981",1981-05-10,4,"Kalmar FF","IFK Norrköping",2,4,4225
"Allsvenskan 1981",1981-05-10,4,"Malmö FF","IFK Göteborg",0,2,10843
"Allsvenskan 1981",1981-05-10,4,"Åtvidabergs FF",AIK,1,1,4395
"Allsvenskan 1981",1981-05-10,4,"Örgryte IS","Östers IF",1,3,11530
"Allsvenskan 1981",1981-05-17,5,"IF Elfsborg","Kalmar FF",1,3,5002
"Allsvenskan 1981",1981-05-17,5,"IFK Göteborg","IK Brage",3,1,10464
"Allsvenskan 1981",1981-05-17,5,"Halmstads BK","Malmö FF",1,2,6347
"Allsvenskan 1981",1981-05-17,5,"Hammarby IF","Örgryte IS",3,0,9185
"Allsvenskan 1981",1981-05-17,5,"IFK Norrköping","Djurgårdens IF",2,0,5964
"Allsvenskan 1981",1981-05-17,5,"IFK Sundsvall","Åtvidabergs FF",1,1,6211
"Allsvenskan 1981",1981-05-17,5,"Östers IF",AIK,5,0,5389
"Allsvenskan 1981",1981-05-20,6,AIK,"IF Elfsborg",2,0,5123
"Allsvenskan 1981",1981-05-21,6,"IK Brage","IFK Sundsvall",0,0,4904
