leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1980",1980-04-13,1,"IFK Göteborg","IK Brage",1,1,14452
"Allsvenskan 1980",1980-04-13,1,"Halmstads BK","Djurgårdens IF",0,1,8125
"Allsvenskan 1980",1980-04-13,1,"Hammarby IF","IFK Norrköping",1,1,11157
"Allsvenskan 1980",1980-04-13,1,"Landskrona BoIS","IFK Sundsvall",4,0,4720
"Allsvenskan 1980",1980-04-13,1,"Malmö FF","Åtvidabergs FF",1,0,7306
"Allsvenskan 1980",1980-04-13,1,"Mjällby AIF","Kalmar FF",0,1,8438
"Allsvenskan 1980",1980-04-13,1,"Östers IF","IF Elfsborg",0,0,4978
"Allsvenskan 1980",1980-04-20,2,"Djurgårdens IF","IFK Göteborg",0,1,4730
"Allsvenskan 1980",1980-04-20,2,"Kalmar FF","Malmö FF",0,4,4406
"Allsvenskan 1980",1980-04-20,2,"IFK Norrköping","Landskrona BoIS",1,2,3717
"Allsvenskan 1980",1980-04-20,2,"IFK Sundsvall","Östers IF",0,0,4352
"Allsvenskan 1980",1980-05-15,2,"IF Elfsborg","Halmstads BK",1,0,8934
"Allsvenskan 1980",1980-05-15,2,"Åtvidabergs FF","Hammarby IF",3,3,2673
"Allsvenskan 1980",1980-06-22,2,"IK Brage","Mjällby AIF",2,1,6666
"Allsvenskan 1980",1980-04-23,3,"IFK Göteborg","Kalmar FF",2,2,8894
"Allsvenskan 1980",1980-04-23,3,"Halmstads BK","IK Brage",1,1,3986
"Allsvenskan 1980",1980-04-23,3,"Hammarby IF","Malmö FF",0,0,6818
"Allsvenskan 1980",1980-04-23,3,"Landskrona BoIS","IF Elfsborg",0,1,4326
"Allsvenskan 1980",1980-04-23,3,"Mjällby AIF","Åtvidabergs FF",0,1,2890
"Allsvenskan 1980",1980-04-23,3,"IFK Norrköping","IFK Sundsvall",3,2,2588
"Allsvenskan 1980",1980-04-23,3,"Östers IF","Djurgårdens IF",2,0,1598
"Allsvenskan 1980",1980-05-03,4,"IK Brage","Östers IF",0,0,8000
"Allsvenskan 1980",1980-05-03,4,"Djurgårdens IF","Landskrona BoIS",1,1,4616
"Allsvenskan 1980",1980-05-03,4,"IF Elfsborg","IFK Norrköping",1,1,7667
