leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1986",1986-04-19,1,"Djurgårdens IF","Kalmar FF",2,1,5349
"Allsvenskan 1986",1986-04-20,1,AIK,"Malmö FF",2,5,3737
"Allsvenskan 1986",1986-04-20,1,"IFK Göteborg","Hammarby IF",3,1,4972
"Allsvenskan 1986",1986-04-20,1,"Halmstads BK","IF Elfsborg",2,0,2343
"Allsvenskan 1986",1986-05-08,1,"IFK Norrköping","IK Brage",2,0,4057
"Allsvenskan 1986",1986-05-08,1,"Östers IF","Örgryte IS",1,1,2223
"Allsvenskan 1986",1986-04-27,2,"IK Brage",AIK,0,0,3595
"Allsvenskan 1986",1986-04-27,2,"IF Elfsborg","Djurgårdens IF",4,0,3737
"Allsvenskan 1986",1986-04-27,2,"Hammarby IF","Östers IF",1,1,4441
"Allsvenskan 1986",1986-04-27,2,"Kalmar FF","IFK Norrköping",2,1,2255
"Allsvenskan 1986",1986-04-27,2,"Malmö FF","IFK Göteborg",1,1,13349
"Allsvenskan 1986",1986-04-27,2,"Örgryte IS","Halmstads BK",3,0,3056
"Allsvenskan 1986",1986-05-04,3,AIK,"Kalmar FF",0,0,5240
"Allsvenskan 1986",1986-05-04,3,"IF Elfsborg","Örgryte IS",1,2,6006
"Allsvenskan 1986",1986-05-04,3,"IFK Göteborg","IFK Norrköping",2,1,8767
"Allsvenskan 1986",1986-05-04,3,"Halmstads BK","Malmö FF",2,2,4253
"Allsvenskan 1986",1986-05-04,3,"Östers IF","IK Brage",0,0,3594
"Allsvenskan 1986",1986-05-04,3,"Djurgårdens IF","Hammarby IF",1,3,14424
"Allsvenskan 1986",1986-05-11,4,"IK Brage","IFK Göteborg",1,2,6478
"Allsvenskan 1986",1986-05-11,4,"Hammarby IF","Halmstads BK",3,0,3726
"Allsvenskan 1986",1986-05-11,4,"Kalmar FF","IF Elfsborg",0,0,2416
"Allsvenskan 1986",1986-05-11,4,"Malmö FF","Östers IF",4,1,6687
"Allsvenskan 1986",1986-05-11,4,"IFK Norrköping",AIK,0,0,6026
"Allsvenskan 1986",1986-05-11,4,"Örgryte IS","Djurgårdens IF",0,1,4837
"Allsvenskan 1986",1986-05-18,5,"Hammarby IF","IK Brage",1,0,6424
"Allsvenskan 1986",1986-05-19,5,"Djurgårdens IF","IFK Göteborg",0,4,12767
"Allsvenskan 1986",1986-05-19,5,"IF Elfsborg",AIK,0,1,4144
"Allsvenskan 1986",1986-05-19,5,"Halmstads BK","Östers IF",3,1,3351
"Allsvenskan 1986",1986-05-19,5,"Kalmar FF","Malmö FF",0,0,3788
"Allsvenskan 1986",1986-05-19,5,"Örgryte IS","IFK Norrköping",3,1,4123
"Allsvenskan 1986",1986-05-22,6,AIK,"Djurgårdens IF",3,2,12171
"Allsvenskan 1986",1986-05-22,6,"IK Brage","Örgryte IS",1,1,4524
"Allsvenskan 1986",1986-05-22,6,"IFK Göteborg","Halmstads BK",4,0,5792
"Allsvenskan 1986",1986-05-22,6,"Malmö FF","Hammarby IF",5,0,6495
"Allsvenskan 1986",1986-05-22,6,"IFK Norrköping","IF Elfsborg",4,0,3727
"Allsvenskan 1986",1986-05-22,6,"Östers IF","Kalmar FF",1,0,3464
"Allsvenskan 1986",1986-05-25,7,AIK,"Örgryte IS",0,2,5765
"Allsvenskan 1986",1986-05-25,7,"IK Brage","Malmö FF",2,1,5180
"Allsvenskan 1986",1986-05-25,7,"IFK Göteborg","IF Elfsborg",1,1,5840
"Allsvenskan 1986",1986-05-25,7,"Halmstads BK","Kalmar FF",4,1,1887
"Allsvenskan 1986",1986-05-25,7,"IFK Norrköping","Hammarby IF",2,1,6743
"Allsvenskan 1986",1986-05-25,7,"Östers IF","Djurgårdens IF",3,1,2324
"Allsvenskan 1986",1986-05-28,8,"Djurgårdens IF","Halmstads BK",0,0,3218
"Allsvenskan 1986",1986-05-29,8,"IF Elfsborg","Östers IF",3,0,3203
"Allsvenskan 1986",1986-05-29,8,"Hammarby IF",AIK,0,4,12413
"Allsvenskan 1986",1986-05-29,8,"Kalmar FF","IK Brage",4,0,1850
"Allsvenskan 1986",1986-05-29,8,"Malmö FF","IFK Norrköping",3,0,6345
"Allsvenskan 1986",1986-05-29,8,"Örgryte IS","IFK Göteborg",0,1,32822
"Allsvenskan 1986",1986-06-04,9,AIK,"Östers IF",0,0,2320
"Allsvenskan 1986",1986-06-04,9,"IK Brage","Djurgårdens IF",0,1,2979
"Allsvenskan 1986",1986-06-04,9,"IFK Göteborg","Kalmar FF",3,0,3555
"Allsvenskan 1986",1986-06-04,9,"Malmö FF","IF Elfsborg",0,0,2263
"Allsvenskan 1986",1986-06-04,9,"IFK Norrköping","Halmstads BK",2,1,2066
"Allsvenskan 1986",1986-06-05,9,"Hammarby IF","Örgryte IS",4,3,2599
"Allsvenskan 1986",1986-06-11,10,"Djurgårdens IF","IFK Norrköping",3,1,4132
"Allsvenskan 1986",1986-06-11,10,"IF Elfsborg","IK Brage",0,1,3004
"Allsvenskan 1986",1986-06-11,10,"Halmstads BK",AIK,0,2,2027
"Allsvenskan 1986",1986-06-11,10,"Kalmar FF","Hammarby IF",0,3,2113
"Allsvenskan 1986",1986-06-11,10,"Örgryte IS","Malmö FF",1,4,2655
"Allsvenskan 1986",1986-06-11,10,"Östers IF","IFK Göteborg",2,2,5790
"Allsvenskan 1986",1986-06-18,11,AIK,"IFK Göteborg",2,1,5839
"Allsvenskan 1986",1986-06-18,11,"Malmö FF","Djurgårdens IF",2,0,3329
"Allsvenskan 1986",1986-06-18,11,"Örgryte IS","Kalmar FF",1,2,1176
"Allsvenskan 1986",1986-06-29,11,"IK Brage","Halmstads BK",2,1,3024
"Allsvenskan 1986",1986-06-29,11,"Hammarby IF","IF Elfsborg",0,2,3477
"Allsvenskan 1986",1986-06-29,11,"IFK Norrköping","Östers IF",3,1,3046
"Allsvenskan 1986",1986-07-13,12,"IF Elfsborg","Hammarby IF",2,4,3737
"Allsvenskan 1986",1986-07-13,12,"Halmstads BK","IK Brage",1,2,3799
"Allsvenskan 1986",1986-07-13,12,"Östers IF","IFK Norrköping",1,0,2257
"Allsvenskan 1986",1986-07-16,12,"Djurgårdens IF","Malmö FF",0,3,5585
"Allsvenskan 1986",1986-07-16,12,"IFK Göteborg",AIK,2,0,9797
"Allsvenskan 1986",1986-07-16,12,"Kalmar FF","Örgryte IS",3,3,2839
"Allsvenskan 1986",1986-07-20,13,"Djurgårdens IF","IK Brage",0,1,2824
