leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1987",1987-04-12,1,AIK,"Halmstads BK",3,0,5267
"Allsvenskan 1987",1987-04-12,1,"IK Brage","IFK Göteborg",0,2,6454
"Allsvenskan 1987",1987-04-12,1,"Malmö FF","Västra Frölunda IF",2,2,5430
"Allsvenskan 1987",1987-04-12,1,"GIF Sundsvall","IFK Norrköping",1,2,5083
"Allsvenskan 1987",1987-04-12,1,"Örgryte IS","Hammarby IF",0,0,4388
"Allsvenskan 1987",1987-04-12,1,"Östers IF","IF Elfsborg",1,0,2578
"Allsvenskan 1987",1987-04-20,2,"Västra Frölunda IF","GIF Sundsvall",1,1,3315
"Allsvenskan 1987",1987-04-21,2,"IF Elfsborg","Örgryte IS",0,5,3003
"Allsvenskan 1987",1987-04-21,2,"Halmstads BK","IK Brage",4,0,2127
"Allsvenskan 1987",1987-04-21,2,"Hammarby IF","Malmö FF",2,2,3524
"Allsvenskan 1987",1987-04-21,2,"IFK Norrköping",AIK,2,0,5165
"Allsvenskan 1987",1987-07-23,2,"IFK Göteborg","Östers IF",0,0,5942
"Allsvenskan 1987",1987-04-25,3,"Malmö FF",AIK,0,1,3546
"Allsvenskan 1987",1987-04-26,3,"IF Elfsborg","IFK Norrköping",1,2,2424
"Allsvenskan 1987",1987-04-26,3,"Hammarby IF","Västra Frölunda IF",3,0,3577
"Allsvenskan 1987",1987-04-26,3,"GIF Sundsvall","IFK Göteborg",0,0,11437
"Allsvenskan 1987",1987-04-26,3,"Örgryte IS","IK Brage",0,0,3376
"Allsvenskan 1987",1987-04-26,3,"Östers IF","Halmstads BK",4,0,2401
"Allsvenskan 1987",1987-04-30,4,"IFK Göteborg","Hammarby IF",3,2,8166
"Allsvenskan 1987",1987-05-01,4,AIK,"GIF Sundsvall",0,0,3298
"Allsvenskan 1987",1987-05-01,4,"IK Brage","Malmö FF",0,3,3944
"Allsvenskan 1987",1987-05-01,4,"Halmstads BK","Örgryte IS",0,0,2528
"Allsvenskan 1987",1987-05-01,4,"IFK Norrköping","Östers IF",3,0,4900
"Allsvenskan 1987",1987-05-01,4,"Västra Frölunda IF","IF Elfsborg",4,1,1118
"Allsvenskan 1987",1987-05-09,5,"Hammarby IF","IFK Norrköping",2,1,3108
"Allsvenskan 1987",1987-05-10,5,"IF Elfsborg","Halmstads BK",1,1,2727
"Allsvenskan 1987",1987-05-10,5,"Malmö FF","GIF Sundsvall",3,1,3508
"Allsvenskan 1987",1987-05-10,5,"Örgryte IS",AIK,0,0,3051
"Allsvenskan 1987",1987-05-10,5,"Östers IF","IK Brage",1,1,2041
"Allsvenskan 1987",1987-05-11,5,"Västra Frölunda IF","IFK Göteborg",2,2,7965
"Allsvenskan 1987",1987-05-17,6,AIK,"Östers IF",0,1,2197
"Allsvenskan 1987",1987-05-17,6,"IK Brage","IF Elfsborg",2,0,2594
"Allsvenskan 1987",1987-05-17,6,"Halmstads BK","Hammarby IF",0,0,3036
"Allsvenskan 1987",1987-05-17,6,"IFK Norrköping","Västra Frölunda IF",2,0,3336
"Allsvenskan 1987",1987-05-17,6,"GIF Sundsvall","Örgryte IS",2,4,1817
"Allsvenskan 1987",1987-08-22,6,"IFK Göteborg","Malmö FF",1,2,10782
"Allsvenskan 1987",1987-05-14,7,AIK,"IFK Göteborg",1,2,7004
"Allsvenskan 1987",1987-05-20,7,"Örgryte IS","IFK Norrköping",1,1,1789
"Allsvenskan 1987",1987-05-20,7,"GIF Sundsvall","IK Brage",2,0,4238
"Allsvenskan 1987",1987-07-01,7,"Malmö FF","Halmstads BK",3,1,4447
"Allsvenskan 1987",1987-07-08,7,"IF Elfsborg","Hammarby IF",0,0,3456
"Allsvenskan 1987",1987-07-30,7,"Östers IF","Västra Frölunda IF",0,1,2667
"Allsvenskan 1987",1987-05-27,8,"Västra Frölunda IF","Örgryte IS",1,1,2573
"Allsvenskan 1987",1987-05-28,8,"IK Brage",AIK,0,0,3448
"Allsvenskan 1987",1987-05-28,8,"IFK Göteborg","IF Elfsborg",2,0,6659
"Allsvenskan 1987",1987-05-28,8,"Halmstads BK","GIF Sundsvall",0,0,2037
"Allsvenskan 1987",1987-05-28,8,"Hammarby IF","Östers IF",4,3,4045
"Allsvenskan 1987",1987-05-28,8,"IFK Norrköping","Malmö FF",0,3,9926
"Allsvenskan 1987",1987-06-06,9,"Västra Frölunda IF","Halmstads BK",1,0,1189
"Allsvenskan 1987",1987-06-08,9,"IF Elfsborg",AIK,1,0,2242
"Allsvenskan 1987",1987-06-08,9,"Hammarby IF","IK Brage",0,1,4472
"Allsvenskan 1987",1987-06-08,9,"IFK Norrköping","IFK Göteborg",0,0,10935
"Allsvenskan 1987",1987-06-08,9,"Örgryte IS","Malmö FF",3,7,2976
"Allsvenskan 1987",1987-06-08,9,"Östers IF","GIF Sundsvall",1,0,2104
"Allsvenskan 1987",1987-06-11,10,AIK,"Hammarby IF",1,1,11626
"Allsvenskan 1987",1987-06-11,10,"IK Brage","Västra Frölunda IF",1,1,3009
"Allsvenskan 1987",1987-06-11,10,"IFK Göteborg","Örgryte IS",1,2,16470
"Allsvenskan 1987",1987-06-11,10,"Halmstads BK","IFK Norrköping",1,2,2722
"Allsvenskan 1987",1987-06-11,10,"Malmö FF","Östers IF",0,0,6072
"Allsvenskan 1987",1987-06-11,10,"GIF Sundsvall","IF Elfsborg",1,1,3218
"Allsvenskan 1987",1987-06-24,11,"IF Elfsborg","Malmö FF",1,2,3663
"Allsvenskan 1987",1987-06-24,11,"IFK Göteborg","Halmstads BK",3,0,5865
"Allsvenskan 1987",1987-06-24,11,"Hammarby IF","GIF Sundsvall",2,3,4266
"Allsvenskan 1987",1987-06-24,11,"IFK Norrköping","IK Brage",0,0,4919
"Allsvenskan 1987",1987-06-24,11,"Västra Frölunda IF",AIK,1,0,1613
"Allsvenskan 1987",1987-06-24,11,"Östers IF","Örgryte IS",1,0,3014
"Allsvenskan 1987",1987-07-12,12,"Örgryte IS","Östers IF",1,2,3446
"Allsvenskan 1987",1987-07-15,12,AIK,"Västra Frölunda IF",2,3,3188
"Allsvenskan 1987",1987-07-15,12,"IK Brage","IFK Norrköping",1,1,4634
"Allsvenskan 1987",1987-07-15,12,"Halmstads BK","IFK Göteborg",1,1,8938
"Allsvenskan 1987",1987-07-15,12,"Malmö FF","IF Elfsborg",3,0,4402
"Allsvenskan 1987",1987-07-15,12,"GIF Sundsvall","Hammarby IF",0,2,5061
"Allsvenskan 1987",1987-07-19,13,"IF Elfsborg","Östers IF",1,1,2828
"Allsvenskan 1987",1987-07-19,13,"IFK Göteborg","IK Brage",2,3,3527
"Allsvenskan 1987",1987-07-22,13,"Halmstads BK",AIK,0,0,4713
