leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1984",1984-04-14,1,"IF Elfsborg","IFK Norrköping",1,2,2002
"Allsvenskan 1984",1984-04-15,1,AIK,"Halmstads BK",1,0,6193
"Allsvenskan 1984",1984-04-15,1,"IK Brage","Hammarby IF",0,0,4949
"Allsvenskan 1984",1984-04-15,1,"IFK Göteborg","Kalmar FF",1,2,9424
"Allsvenskan 1984",1984-04-15,1,"Malmö FF","Gefle IF",7,2,6710
"Allsvenskan 1984",1984-04-15,1,"Östers IF","Örgryte IS",0,1,2534
"Allsvenskan 1984",1984-04-21,2,"IFK Göteborg","Gefle IF",2,0,4778
"Allsvenskan 1984",1984-04-21,2,"Hammarby IF","Malmö FF",1,0,3458
"Allsvenskan 1984",1984-04-23,2,"Halmstads BK","IK Brage",2,1,4002
"Allsvenskan 1984",1984-04-23,2,"Kalmar FF","IF Elfsborg",1,2,4199
"Allsvenskan 1984",1984-04-23,2,"IFK Norrköping","Östers IF",1,1,6944
"Allsvenskan 1984",1984-04-23,2,"Örgryte IS",AIK,0,1,4821
"Allsvenskan 1984",1984-04-28,3,AIK,"IFK Göteborg",0,0,9162
"Allsvenskan 1984",1984-04-29,3,"IK Brage","Malmö FF",0,1,5876
"Allsvenskan 1984",1984-04-29,3,"Halmstads BK","Gefle IF",0,0,5146
"Allsvenskan 1984",1984-04-29,3,"IFK Norrköping","Hammarby IF",4,1,10188
"Allsvenskan 1984",1984-04-29,3,"Örgryte IS","Kalmar FF",2,1,3458
"Allsvenskan 1984",1984-04-29,3,"Östers IF","IF Elfsborg",0,0,2757
"Allsvenskan 1984",1984-05-05,4,"Malmö FF","Halmstads BK",3,1,6327
"Allsvenskan 1984",1984-05-06,4,"IF Elfsborg",AIK,1,3,4664
"Allsvenskan 1984",1984-05-06,4,"Gefle IF","Örgryte IS",1,1,5767
"Allsvenskan 1984",1984-05-06,4,"IFK Göteborg","IK Brage",2,1,6295
"Allsvenskan 1984",1984-05-06,4,"Hammarby IF","Östers IF",1,0,7865
"Allsvenskan 1984",1984-05-06,4,"Kalmar FF","IFK Norrköping",1,0,4653
"Allsvenskan 1984",1984-05-12,5,"Östers IF","Kalmar FF",3,0,2298
"Allsvenskan 1984",1984-05-13,5,AIK,"IFK Norrköping",3,1,7992
"Allsvenskan 1984",1984-05-13,5,"IK Brage","Örgryte IS",0,1,4339
"Allsvenskan 1984",1984-05-13,5,"IF Elfsborg","Gefle IF",2,2,3431
"Allsvenskan 1984",1984-05-13,5,"IFK Göteborg","Malmö FF",1,1,10725
"Allsvenskan 1984",1984-05-13,5,"Halmstads BK","Hammarby IF",0,4,5105
"Allsvenskan 1984",1984-05-17,6,"Gefle IF","Östers IF",2,1,4283
"Allsvenskan 1984",1984-05-17,6,"Hammarby IF","IFK Göteborg",2,1,10954
"Allsvenskan 1984",1984-05-17,6,"Kalmar FF",AIK,1,4,3151
"Allsvenskan 1984",1984-05-17,6,"Malmö FF","IF Elfsborg",2,0,7923
"Allsvenskan 1984",1984-05-17,6,"IFK Norrköping","IK Brage",0,0,4682
"Allsvenskan 1984",1984-05-17,6,"Örgryte IS","Halmstads BK",1,1,2739
"Allsvenskan 1984",1984-05-26,7,AIK,"Gefle IF",2,0,5035
"Allsvenskan 1984",1984-05-27,7,"IK Brage","Kalmar FF",1,0,3397
"Allsvenskan 1984",1984-05-27,7,"IF Elfsborg","IFK Göteborg",2,3,6710
"Allsvenskan 1984",1984-05-27,7,"Halmstads BK","IFK Norrköping",0,0,4527
"Allsvenskan 1984",1984-05-27,7,"Örgryte IS","Hammarby IF",2,2,5676
"Allsvenskan 1984",1984-05-27,7,"Östers IF","Malmö FF",2,1,3613
"Allsvenskan 1984",1984-06-03,8,"Gefle IF","IK Brage",0,4,5508
"Allsvenskan 1984",1984-06-03,8,"IFK Göteborg","Östers IF",5,0,7764
"Allsvenskan 1984",1984-06-03,8,"Hammarby IF","IF Elfsborg",5,0,7437
"Allsvenskan 1984",1984-06-03,8,"Kalmar FF","Halmstads BK",0,0,2840
"Allsvenskan 1984",1984-06-03,8,"Malmö FF",AIK,2,2,15498
"Allsvenskan 1984",1984-06-03,8,"IFK Norrköping","Örgryte IS",2,1,4945
"Allsvenskan 1984",1984-06-14,9,AIK,"Hammarby IF",1,0,26990
"Allsvenskan 1984",1984-06-14,9,"IF Elfsborg","Halmstads BK",1,2,2950
"Allsvenskan 1984",1984-06-14,9,"Gefle IF","Kalmar FF",0,0,2958
"Allsvenskan 1984",1984-06-14,9,"IFK Göteborg","Örgryte IS",3,0,22407
"Allsvenskan 1984",1984-06-14,9,"Malmö FF","IFK Norrköping",1,1,4623
"Allsvenskan 1984",1984-06-14,9,"Östers IF","IK Brage",1,0,1681
"Allsvenskan 1984",1984-06-17,10,"IK Brage",AIK,1,2,5680
"Allsvenskan 1984",1984-06-17,10,"Halmstads BK","Östers IF",2,1,4550
"Allsvenskan 1984",1984-06-17,10,"Hammarby IF","Gefle IF",4,1,5663
"Allsvenskan 1984",1984-06-17,10,"Kalmar FF","Malmö FF",1,1,4177
"Allsvenskan 1984",1984-06-17,10,"IFK Norrköping","IFK Göteborg",0,3,10277
"Allsvenskan 1984",1984-06-18,10,"Örgryte IS","IF Elfsborg",1,0,3757
"Allsvenskan 1984",1984-06-26,11,"IFK Göteborg","Halmstads BK",1,2,9016
"Allsvenskan 1984",1984-06-26,11,"Malmö FF","Örgryte IS",1,1,5616
"Allsvenskan 1984",1984-06-26,11,"Östers IF",AIK,0,0,2514
"Allsvenskan 1984",1984-07-01,11,"IF Elfsborg","IK Brage",5,0,3505
"Allsvenskan 1984",1984-07-01,11,"Gefle IF","IFK Norrköping",3,3,4369
"Allsvenskan 1984",1984-07-01,11,"Hammarby IF","Kalmar FF",2,2,6745
"Allsvenskan 1984",1984-07-04,12,AIK,"Östers IF",1,1,6594
"Allsvenskan 1984",1984-07-04,12,"Halmstads BK","IFK Göteborg",0,1,12864
"Allsvenskan 1984",1984-07-04,12,"Örgryte IS","Malmö FF",2,4,4681
"Allsvenskan 1984",1984-07-08,12,"IK Brage","IF Elfsborg",0,0,3493
"Allsvenskan 1984",1984-07-08,12,"Kalmar FF","Hammarby IF",2,1,5721
"Allsvenskan 1984",1984-07-08,12,"IFK Norrköping","Gefle IF",3,0,3932
"Allsvenskan 1984",1984-07-22,13,"Hammarby IF","IK Brage",2,2,5958
"Allsvenskan 1984",1984-07-22,13,"IFK Norrköping","IF Elfsborg",2,2,5088
"Allsvenskan 1984",1984-07-25,13,"Gefle IF","Malmö FF",2,4,5479
"Allsvenskan 1984",1984-07-25,13,"Halmstads BK",AIK,0,1,6964
"Allsvenskan 1984",1984-07-25,13,"Kalmar FF","IFK Göteborg",1,1,9561
"Allsvenskan 1984",1984-07-25,13,"Örgryte IS","Östers IF",0,4,4725
"Allsvenskan 1984",1984-08-01,14,AIK,"Örgryte IS",2,1,3568
"Allsvenskan 1984",1984-08-01,14,"Gefle IF","IFK Göteborg",0,3,5310
"Allsvenskan 1984",1984-08-01,14,"Malmö FF","Hammarby IF",6,1,6884
"Allsvenskan 1984",1984-08-01,14,"Östers IF","IFK Norrköping",0,2,2635
"Allsvenskan 1984",1984-08-01,14,"IK Brage","Halmstads BK",2,1,3705
