leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1982",1982-04-24,1,AIK,"Östers IF",1,0,6194
"Allsvenskan 1982",1982-04-24,1,"IF Elfsborg","Malmö FF",0,1,4272
"Allsvenskan 1982",1982-04-24,1,"Kalmar FF","Halmstads BK",4,1,3084
"Allsvenskan 1982",1982-04-24,1,"IFK Norrköping","Hammarby IF",1,1,5206
"Allsvenskan 1982",1982-04-24,1,"Örgryte IS","Åtvidabergs FF",4,3,2953
"Allsvenskan 1982",1982-04-26,1,"IFK Göteborg","IK Brage",1,0,7109
"Allsvenskan 1982",1982-04-29,2,"IFK Göteborg","IFK Norrköping",2,1,3147
"Allsvenskan 1982",1982-05-02,2,"Halmstads BK","IF Elfsborg",2,2,3236
"Allsvenskan 1982",1982-05-02,2,"Hammarby IF","Örgryte IS",4,2,8840
"Allsvenskan 1982",1982-05-02,2,"Malmö FF",AIK,2,0,7394
"Allsvenskan 1982",1982-05-02,2,"Åtvidabergs FF","Kalmar FF",1,0,2701
"Allsvenskan 1982",1982-05-02,2,"Östers IF","IK Brage",4,0,1940
"Allsvenskan 1982",1982-05-09,3,AIK,"IFK Norrköping",1,1,6813
"Allsvenskan 1982",1982-05-09,3,"IK Brage","Hammarby IF",1,0,4205
"Allsvenskan 1982",1982-05-09,3,"IF Elfsborg","IFK Göteborg",0,0,6485
"Allsvenskan 1982",1982-05-09,3,"Kalmar FF","Östers IF",1,0,5908
"Allsvenskan 1982",1982-05-09,3,"Åtvidabergs FF","Halmstads BK",0,2,2581
"Allsvenskan 1982",1982-05-09,3,"Örgryte IS","Malmö FF",1,1,2996
"Allsvenskan 1982",1982-05-14,4,"IFK Göteborg",AIK,1,0,5568
"Allsvenskan 1982",1982-05-16,4,"Halmstads BK","Örgryte IS",4,2,4806
"Allsvenskan 1982",1982-05-16,4,"Hammarby IF","Åtvidabergs FF",1,1,8147
"Allsvenskan 1982",1982-05-16,4,"Malmö FF","Kalmar FF",1,1,7334
"Allsvenskan 1982",1982-05-16,4,"IFK Norrköping","IK Brage",2,1,4591
"Allsvenskan 1982",1982-05-16,4,"Östers IF","IF Elfsborg",0,0,3145
"Allsvenskan 1982",1982-05-27,5,"IF Elfsborg","IK Brage",1,0,4301
"Allsvenskan 1982",1982-05-27,5,"IFK Göteborg","Örgryte IS",1,2,29544
"Allsvenskan 1982",1982-05-27,5,"Halmstads BK","Malmö FF",0,0,4859
"Allsvenskan 1982",1982-05-27,5,"Hammarby IF",AIK,3,0,16619
"Allsvenskan 1982",1982-05-27,5,"Kalmar FF","IFK Norrköping",0,0,3472
"Allsvenskan 1982",1982-05-27,5,"Åtvidabergs FF","Östers IF",0,1,2792
"Allsvenskan 1982",1982-05-31,6,AIK,"IF Elfsborg",3,2,3951
"Allsvenskan 1982",1982-05-31,6,"IK Brage","Kalmar FF",0,0,5010
"Allsvenskan 1982",1982-05-31,6,"IFK Göteborg","Åtvidabergs FF",0,1,6103
"Allsvenskan 1982",1982-05-31,6,"Malmö FF","Hammarby IF",2,0,7782
"Allsvenskan 1982",1982-05-31,6,"IFK Norrköping","Örgryte IS",1,1,5635
"Allsvenskan 1982",1982-05-31,6,"Östers IF","Halmstads BK",0,0,3386
"Allsvenskan 1982",1982-06-06,7,"Halmstads BK","IFK Norrköping",4,4,3291
"Allsvenskan 1982",1982-06-06,7,"Hammarby IF","Östers IF",1,3,5842
"Allsvenskan 1982",1982-06-06,7,"Kalmar FF","IF Elfsborg",0,0,2736
"Allsvenskan 1982",1982-06-06,7,"Malmö FF","IFK Göteborg",1,1,20506
"Allsvenskan 1982",1982-06-06,7,"Åtvidabergs FF","IK Brage",1,2,2080
"Allsvenskan 1982",1982-06-06,7,"Örgryte IS",AIK,0,0,2721
"Allsvenskan 1982",1982-06-13,8,AIK,"Kalmar FF",0,2,3369
"Allsvenskan 1982",1982-06-13,8,"IK Brage","Örgryte IS",1,0,4390
"Allsvenskan 1982",1982-06-13,8,"IF Elfsborg","Hammarby IF",0,1,2771
"Allsvenskan 1982",1982-06-13,8,"IFK Göteborg","Halmstads BK",5,1,1495
"Allsvenskan 1982",1982-06-13,8,"IFK Norrköping","Åtvidabergs FF",2,0,5000
"Allsvenskan 1982",1982-06-13,8,"Östers IF","Malmö FF",1,0,3003
"Allsvenskan 1982",1982-06-23,9,"Halmstads BK","IK Brage",3,1,2957
"Allsvenskan 1982",1982-06-23,9,"Malmö FF","IFK Norrköping",1,1,2614
"Allsvenskan 1982",1982-06-23,9,"Östers IF","IFK Göteborg",3,1,9107
"Allsvenskan 1982",1982-06-27,9,"Hammarby IF","Kalmar FF",2,2,4986
"Allsvenskan 1982",1982-06-27,9,"Åtvidabergs FF",AIK,3,2,1945
"Allsvenskan 1982",1982-06-27,9,"Örgryte IS","IF Elfsborg",2,2,3329
"Allsvenskan 1982",1982-06-30,10,"IK Brage","Malmö FF",2,2,3936
"Allsvenskan 1982",1982-06-30,10,"IFK Göteborg","Hammarby IF",4,1,10337
"Allsvenskan 1982",1982-06-30,10,"IFK Norrköping","Östers IF",2,1,3627
"Allsvenskan 1982",1982-07-04,10,AIK,"Halmstads BK",1,1,1432
"Allsvenskan 1982",1982-07-04,10,"IF Elfsborg","Åtvidabergs FF",3,1,2525
"Allsvenskan 1982",1982-07-04,10,"Kalmar FF","Örgryte IS",1,2,3586
"Allsvenskan 1982",1982-07-07,11,AIK,"IK Brage",1,1,2895
"Allsvenskan 1982",1982-07-07,11,"IF Elfsborg","IFK Norrköping",2,2,4404
"Allsvenskan 1982",1982-07-07,11,"Kalmar FF","IFK Göteborg",1,4,6546
"Allsvenskan 1982",1982-07-07,11,"Örgryte IS","Östers IF",1,0,3967
"Allsvenskan 1982",1982-07-11,11,"Halmstads BK","Hammarby IF",3,0,4621
"Allsvenskan 1982",1982-07-11,11,"Åtvidabergs FF","Malmö FF",0,2,1480
"Allsvenskan 1982",1982-07-14,12,"IK Brage",AIK,1,1,5184
"Allsvenskan 1982",1982-07-14,12,"IFK Göteborg","Kalmar FF",1,1,5149
"Allsvenskan 1982",1982-07-14,12,"IFK Norrköping","IF Elfsborg",1,2,3152
"Allsvenskan 1982",1982-07-14,12,"Östers IF","Örgryte IS",1,0,2581
"Allsvenskan 1982",1982-07-18,12,"Hammarby IF","Halmstads BK",4,2,5084
"Allsvenskan 1982",1982-07-18,12,"Malmö FF","Åtvidabergs FF",1,1,3893
"Allsvenskan 1982",1982-07-28,13,"IK Brage","IFK Göteborg",1,3,7740
"Allsvenskan 1982",1982-07-28,13,"Hammarby IF","IFK Norrköping",1,1,7109
"Allsvenskan 1982",1982-07-28,13,"Östers IF",AIK,2,2,3280
"Allsvenskan 1982",1982-08-01,13,"Halmstads BK","Kalmar FF",4,1,4777
"Allsvenskan 1982",1982-08-01,13,"Malmö FF","IF Elfsborg",0,1,4020
"Allsvenskan 1982",1982-08-01,13,"Åtvidabergs FF","Örgryte IS",0,1,2011
"Allsvenskan 1982",1982-08-08,14,AIK,"Malmö FF",0,0,4147
"Allsvenskan 1982",1982-08-08,14,"IK Brage","Östers IF",1,0,3682
"Allsvenskan 1982",1982-08-08,14,"IF Elfsborg","Halmstads BK",5,2,4114
"Allsvenskan 1982",1982-08-08,14,"Kalmar FF","Åtvidabergs FF",1,0,2570
"Allsvenskan 1982",1982-08-08,14,"IFK Norrköping","IFK Göteborg",1,6,7563
"Allsvenskan 1982",1982-08-08,14,"Örgryte IS","Hammarby IF",1,2,3639
"Allsvenskan 1982",1982-08-15,15,"IFK Göteborg","IF Elfsborg",0,0,13935
"Allsvenskan 1982",1982-08-15,15,"Halmstads BK","Åtvidabergs FF",1,0,4274
"Allsvenskan 1982",1982-08-15,15,"Hammarby IF","IK Brage",6,0,5824
"Allsvenskan 1982",1982-08-15,15,"Malmö FF","Örgryte IS",0,0,4751
"Allsvenskan 1982",1982-08-15,15,"IFK Norrköping",AIK,2,3,3534
"Allsvenskan 1982",1982-08-15,15,"Östers IF","Kalmar FF",1,1,4320
"Allsvenskan 1982",1982-08-22,16,AIK,"IFK Göteborg",0,0,9712
"Allsvenskan 1982",1982-08-22,16,"IK Brage","IFK Norrköping",3,0,3668
"Allsvenskan 1982",1982-08-22,16,"IF Elfsborg","Östers IF",3,1,6406
"Allsvenskan 1982",1982-08-22,16,"Kalmar FF","Malmö FF",0,2,3689
"Allsvenskan 1982",1982-08-22,16,"Åtvidabergs FF","Hammarby IF",0,3,2526
"Allsvenskan 1982",1982-08-22,16,"Örgryte IS","Halmstads BK",4,0,3270
"Allsvenskan 1982",1982-08-25,17,"IK Brage","IF Elfsborg",0,0,3799
"Allsvenskan 1982",1982-08-25,17,"Malmö FF","Halmstads BK",2,1,3791
"Allsvenskan 1982",1982-08-25,17,"IFK Norrköping","Kalmar FF",2,1,2360
"Allsvenskan 1982",1982-08-25,17,"Örgryte IS","IFK Göteborg",0,2,19307
"Allsvenskan 1982",1982-08-25,17,"Östers IF","Åtvidabergs FF",2,0,1567
"Allsvenskan 1982",1982-08-26,17,AIK,"Hammarby IF",0,3,19462
"Allsvenskan 1982",1982-08-29,18,"IF Elfsborg",AIK,1,2,5909
"Allsvenskan 1982",1982-08-29,18,"Halmstads BK","Östers IF",2,4,4553
"Allsvenskan 1982",1982-08-29,18,"Hammarby IF","Malmö FF",2,0,12473
"Allsvenskan 1982",1982-08-29,18,"Kalmar FF","IK Brage",0,2,2821
"Allsvenskan 1982",1982-08-29,18,"Åtvidabergs FF","IFK Göteborg",2,8,3203
"Allsvenskan 1982",1982-08-29,18,"Örgryte IS","IFK Norrköping",1,1,3101
"Allsvenskan 1982",1982-09-02,19,AIK,"Örgryte IS",0,0,3909
"Allsvenskan 1982",1982-09-02,19,"IK Brage","Åtvidabergs FF",3,0,3804
"Allsvenskan 1982",1982-09-02,19,"IF Elfsborg","Kalmar FF",2,0,3636
"Allsvenskan 1982",1982-09-02,19,"IFK Göteborg","Malmö FF",1,1,5971
"Allsvenskan 1982",1982-09-02,19,"IFK Norrköping","Halmstads BK",0,1,2682
"Allsvenskan 1982",1982-09-02,19,"Östers IF","Hammarby IF",0,1,5487
