leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1983",1983-04-16,1,"BK Häcken","IF Elfsborg",0,0,6754
"Allsvenskan 1983",1983-04-17,1,"IK Brage",AIK,0,0,4404
"Allsvenskan 1983",1983-04-17,1,"IFK Göteborg","Gefle IF",0,0,8971
"Allsvenskan 1983",1983-04-17,1,"Hammarby IF","Halmstads BK",2,1,9852
"Allsvenskan 1983",1983-04-17,1,"Malmö FF","Mjällby AIF",1,1,7859
"Allsvenskan 1983",1983-04-17,1,"Östers IF","Örgryte IS",0,0,2549
"Allsvenskan 1983",1983-04-24,2,AIK,"Östers IF",1,0,3353
"Allsvenskan 1983",1983-04-24,2,"IF Elfsborg","IK Brage",4,1,3837
"Allsvenskan 1983",1983-04-24,2,"Gefle IF","BK Häcken",1,1,3034
"Allsvenskan 1983",1983-04-24,2,"Halmstads BK","IFK Göteborg",0,2,6587
"Allsvenskan 1983",1983-04-24,2,"Mjällby AIF","Hammarby IF",1,0,4825
"Allsvenskan 1983",1983-04-24,2,"Örgryte IS","Malmö FF",1,1,2988
"Allsvenskan 1983",1983-05-02,3,"Gefle IF",AIK,3,0,5466
"Allsvenskan 1983",1983-05-02,3,"IFK Göteborg","Östers IF",0,1,10201
"Allsvenskan 1983",1983-05-02,3,"Halmstads BK","IK Brage",1,1,5464
"Allsvenskan 1983",1983-05-02,3,"Hammarby IF","Malmö FF",2,1,8466
"Allsvenskan 1983",1983-05-02,3,"Mjällby AIF","BK Häcken",1,0,4634
"Allsvenskan 1983",1983-05-03,3,"Örgryte IS","IF Elfsborg",3,1,5108
"Allsvenskan 1983",1983-05-08,4,AIK,"Örgryte IS",0,0,4565
"Allsvenskan 1983",1983-05-08,4,"IK Brage","IFK Göteborg",1,0,6736
"Allsvenskan 1983",1983-05-08,4,"IF Elfsborg","Mjällby AIF",2,0,5335
"Allsvenskan 1983",1983-05-08,4,"BK Häcken","Halmstads BK",0,2,2588
"Allsvenskan 1983",1983-05-08,4,"Malmö FF","Gefle IF",5,1,5104
"Allsvenskan 1983",1983-05-08,4,"Östers IF","Hammarby IF",1,3,4980
"Allsvenskan 1983",1983-05-18,5,AIK,"Hammarby IF",2,2,17001
"Allsvenskan 1983",1983-05-18,5,"BK Häcken","Östers IF",0,2,1781
"Allsvenskan 1983",1983-05-19,5,"IK Brage","Gefle IF",2,1,5019
"Allsvenskan 1983",1983-05-19,5,"IF Elfsborg","Malmö FF",1,3,5767
"Allsvenskan 1983",1983-05-19,5,"Mjällby AIF","Halmstads BK",2,2,3065
"Allsvenskan 1983",1983-05-19,5,"Örgryte IS","IFK Göteborg",1,3,24358
"Allsvenskan 1983",1983-05-23,6,"Gefle IF","Mjällby AIF",3,0,6149
"Allsvenskan 1983",1983-05-23,6,"IFK Göteborg",AIK,3,2,7664
"Allsvenskan 1983",1983-05-23,6,"Halmstads BK","Örgryte IS",1,0,5991
"Allsvenskan 1983",1983-05-23,6,"Hammarby IF","IF Elfsborg",2,2,9322
"Allsvenskan 1983",1983-05-23,6,"Malmö FF","BK Häcken",2,0,8532
"Allsvenskan 1983",1983-05-23,6,"Östers IF","IK Brage",3,2,2600
"Allsvenskan 1983",1983-06-02,7,"IK Brage","Mjällby AIF",0,0,5996
"Allsvenskan 1983",1983-06-02,7,"IF Elfsborg",AIK,0,0,4242
"Allsvenskan 1983",1983-06-02,7,"Hammarby IF","Gefle IF",1,0,7234
"Allsvenskan 1983",1983-06-02,7,"BK Häcken","Örgryte IS",0,0,4139
"Allsvenskan 1983",1983-06-02,7,"Malmö FF","IFK Göteborg",3,2,22015
"Allsvenskan 1983",1983-06-02,7,"Östers IF","Halmstads BK",5,0,2684
"Allsvenskan 1983",1983-06-05,8,"Örgryte IS","IK Brage",1,1,2920
"Allsvenskan 1983",1983-06-12,8,AIK,"BK Häcken",1,0,4017
"Allsvenskan 1983",1983-06-12,8,"Gefle IF","IF Elfsborg",0,1,6126
"Allsvenskan 1983",1983-06-12,8,"Halmstads BK","Malmö FF",0,2,5982
"Allsvenskan 1983",1983-06-12,8,"Mjällby AIF","Östers IF",2,4,6079
"Allsvenskan 1983",1983-06-13,8,"IFK Göteborg","Hammarby IF",3,0,12664
"Allsvenskan 1983",1983-06-16,9,"Gefle IF","Örgryte IS",1,1,4894
"Allsvenskan 1983",1983-06-16,9,"IFK Göteborg","BK Häcken",5,0,8266
"Allsvenskan 1983",1983-06-16,9,"Halmstads BK","IF Elfsborg",3,3,5025
"Allsvenskan 1983",1983-06-16,9,"Hammarby IF","IK Brage",6,2,7450
"Allsvenskan 1983",1983-06-16,9,"Malmö FF","Östers IF",0,0,14462
"Allsvenskan 1983",1983-06-16,9,"Mjällby AIF",AIK,0,6,2767
"Allsvenskan 1983",1983-06-26,10,AIK,"Halmstads BK",2,0,4669
"Allsvenskan 1983",1983-06-26,10,"Örgryte IS","Mjällby AIF",4,1,2594
"Allsvenskan 1983",1983-06-26,10,"Östers IF","Gefle IF",3,1,2721
"Allsvenskan 1983",1983-06-29,10,"IK Brage","Malmö FF",0,2,5391
"Allsvenskan 1983",1983-06-29,10,"IF Elfsborg","IFK Göteborg",1,1,11666
"Allsvenskan 1983",1983-06-29,10,"BK Häcken","Hammarby IF",1,1,2242
"Allsvenskan 1983",1983-07-03,11,"Halmstads BK","Gefle IF",2,0,4795
"Allsvenskan 1983",1983-07-03,11,"BK Häcken","IK Brage",2,0,1516
"Allsvenskan 1983",1983-07-06,11,"IFK Göteborg","Mjällby AIF",0,0,11450
"Allsvenskan 1983",1983-07-06,11,"Hammarby IF","Örgryte IS",4,1,9931
"Allsvenskan 1983",1983-07-06,11,"Malmö FF",AIK,0,2,10041
"Allsvenskan 1983",1983-07-06,11,"Östers IF","IF Elfsborg",2,0,3517
"Allsvenskan 1983",1983-07-27,12,AIK,"Malmö FF",2,0,6589
"Allsvenskan 1983",1983-07-27,12,"IF Elfsborg","Östers IF",1,1,4354
"Allsvenskan 1983",1983-07-27,12,"Mjällby AIF","IFK Göteborg",0,0,7109
"Allsvenskan 1983",1983-07-27,12,"Örgryte IS","Hammarby IF",1,3,6757
"Allsvenskan 1983",1983-07-30,12,"IK Brage","BK Häcken",3,2,4100
"Allsvenskan 1983",1983-07-31,12,"Gefle IF","Halmstads BK",1,4,5063
"Allsvenskan 1983",1983-08-01,13,"Örgryte IS",AIK,1,0,3150
"Allsvenskan 1983",1983-08-04,13,"Gefle IF","Malmö FF",3,5,4787
"Allsvenskan 1983",1983-08-04,13,"IFK Göteborg","IK Brage",2,1,5958
"Allsvenskan 1983",1983-08-04,13,"Halmstads BK","BK Häcken",3,2,5816
"Allsvenskan 1983",1983-08-04,13,"Hammarby IF","Östers IF",0,0,10858
"Allsvenskan 1983",1983-08-04,13,"Mjällby AIF","IF Elfsborg",1,2,3011
"Allsvenskan 1983",1983-08-07,14,AIK,"Gefle IF",5,0,4011
"Allsvenskan 1983",1983-08-07,14,"IK Brage","Halmstads BK",2,2,3400
"Allsvenskan 1983",1983-08-07,14,"IF Elfsborg","Örgryte IS",0,4,4565
"Allsvenskan 1983",1983-08-07,14,"BK Häcken","Mjällby AIF",3,0,1562
"Allsvenskan 1983",1983-08-07,14,"Malmö FF","Hammarby IF",3,2,11345
"Allsvenskan 1983",1983-08-07,14,"Östers IF","IFK Göteborg",0,1,8515
"Allsvenskan 1983",1983-08-14,15,"Gefle IF","Östers IF",0,1,4156
