leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2006",2006-04-02,1,AIK,"Gefle IF",2,2,23822
"Allsvenskan 2006",2006-04-01,1,GAIS,"Örgryte IS",2,0,11378
"Allsvenskan 2006",2006-04-03,1,"Malmö FF","BK Häcken",1,1,14381
"Allsvenskan 2006",2006-04-03,1,"IFK Göteborg","Östers IF",0,0,7118
"Allsvenskan 2006",2006-04-04,1,"Hammarby IF","Helsingborgs IF",4,2,12119
"Allsvenskan 2006",2006-04-20,1,"Kalmar FF","Djurgårdens IF",0,1,4802
"Allsvenskan 2006",2006-04-20,1,"Halmstads BK","IF Elfsborg",0,1,5505
"Allsvenskan 2006",2006-04-08,2,"Helsingborgs IF",GAIS,1,0,10725
"Allsvenskan 2006",2006-04-09,2,"Gefle IF","Kalmar FF",2,2,4089
"Allsvenskan 2006",2006-04-09,2,"BK Häcken","Halmstads BK",0,0,1510
"Allsvenskan 2006",2006-04-10,2,"Djurgårdens IF","Hammarby IF",0,0,30139
"Allsvenskan 2006",2006-04-10,2,"Östers IF",AIK,0,4,7896
"Allsvenskan 2006",2006-04-10,2,"Örgryte IS","Malmö FF",1,2,4267
"Allsvenskan 2006",2006-04-10,2,"IF Elfsborg","IFK Göteborg",1,1,15102
"Allsvenskan 2006",2006-04-14,3,"IFK Göteborg","Helsingborgs IF",2,2,8138
"Allsvenskan 2006",2006-04-14,3,"Kalmar FF",GAIS,1,2,4633
"Allsvenskan 2006",2006-04-14,3,"Östers IF","IF Elfsborg",3,4,5157
"Allsvenskan 2006",2006-04-17,3,AIK,"Örgryte IS",2,1,16461
"Allsvenskan 2006",2006-04-17,3,"Gefle IF","BK Häcken",0,4,5808
"Allsvenskan 2006",2006-04-17,3,"Halmstads BK","Djurgårdens IF",0,0,6172
"Allsvenskan 2006",2006-04-17,3,"Malmö FF","Hammarby IF",1,2,18665
"Allsvenskan 2006",2006-04-22,4,"BK Häcken","Östers IF",0,1,3012
"Allsvenskan 2006",2006-04-23,4,GAIS,"Malmö FF",0,0,6522
"Allsvenskan 2006",2006-04-23,4,"Hammarby IF","Halmstads BK",0,0,12333
"Allsvenskan 2006",2006-04-23,4,"IF Elfsborg","Kalmar FF",1,0,8261
"Allsvenskan 2006",2006-04-24,4,"Djurgårdens IF","IFK Göteborg",1,0,13095
"Allsvenskan 2006",2006-04-24,4,"Helsingborgs IF",AIK,1,1,11148
"Allsvenskan 2006",2006-04-24,4,"Örgryte IS","Gefle IF",1,1,3399
"Allsvenskan 2006",2006-04-26,5,"Halmstads BK",GAIS,0,0,4886
"Allsvenskan 2006",2006-04-26,5,"IF Elfsborg","BK Häcken",2,2,7951
"Allsvenskan 2006",2006-04-26,5,"Kalmar FF","Malmö FF",0,0,5123
"Allsvenskan 2006",2006-04-27,5,"Gefle IF","Helsingborgs IF",1,0,3928
"Allsvenskan 2006",2006-04-27,5,"IFK Göteborg","Hammarby IF",1,2,8341
"Allsvenskan 2006",2006-04-27,5,"Östers IF","Örgryte IS",0,0,3642
"Allsvenskan 2006",2006-04-27,5,AIK,"Djurgårdens IF",3,1,34174
"Allsvenskan 2006",2006-05-01,6,"BK Häcken","Kalmar FF",0,2,2113
"Allsvenskan 2006",2006-05-02,6,"Djurgårdens IF","Gefle IF",1,0,9699
"Allsvenskan 2006",2006-05-02,6,GAIS,"IFK Göteborg",1,2,26793
"Allsvenskan 2006",2006-05-02,6,"Helsingborgs IF","Östers IF",4,0,8643
"Allsvenskan 2006",2006-05-03,6,"Malmö FF","Halmstads BK",1,0,14193
"Allsvenskan 2006",2006-05-03,6,"Örgryte IS","IF Elfsborg",0,2,5298
"Allsvenskan 2006",2006-05-03,6,"Hammarby IF",AIK,2,0,14694
"Allsvenskan 2006",2006-05-06,7,"IFK Göteborg","BK Häcken",3,0,7731
"Allsvenskan 2006",2006-05-07,7,GAIS,"Djurgårdens IF",1,1,7055
"Allsvenskan 2006",2006-05-07,7,"Gefle IF","Östers IF",1,0,5541
"Allsvenskan 2006",2006-05-07,7,"Halmstads BK","Örgryte IS",1,0,6278
"Allsvenskan 2006",2006-05-07,7,"Kalmar FF","Hammarby IF",4,1,6641
"Allsvenskan 2006",2006-05-08,7,AIK,"IF Elfsborg",2,2,17780
"Allsvenskan 2006",2006-05-08,7,"Malmö FF","Helsingborgs IF",3,1,23571
"Allsvenskan 2006",2006-05-10,8,"Hammarby IF",GAIS,5,2,12458
"Allsvenskan 2006",2006-05-10,8,"IFK Göteborg","Örgryte IS",2,1,20172
"Allsvenskan 2006",2006-05-10,8,"Östers IF","Kalmar FF",0,1,8696
"Allsvenskan 2006",2006-05-11,8,"BK Häcken",AIK,0,1,2346
"Allsvenskan 2006",2006-05-11,8,"Djurgårdens IF","Malmö FF",2,3,13622
"Allsvenskan 2006",2006-05-11,8,"Helsingborgs IF","Halmstads BK",1,1,11114
"Allsvenskan 2006",2006-05-11,8,"IF Elfsborg","Gefle IF",0,1,7958
"Allsvenskan 2006",2006-05-14,9,AIK,GAIS,2,0,20234
"Allsvenskan 2006",2006-05-14,9,"BK Häcken","Örgryte IS",2,2,3477
"Allsvenskan 2006",2006-05-14,9,"IF Elfsborg","Helsingborgs IF",0,0,8928
"Allsvenskan 2006",2006-05-14,9,"IFK Göteborg","Malmö FF",1,0,10517
"Allsvenskan 2006",2006-05-14,9,"Östers IF","Djurgårdens IF",0,3,5045
"Allsvenskan 2006",2006-05-14,9,"Gefle IF","Hammarby IF",0,1,7090
"Allsvenskan 2006",2006-05-15,9,"Kalmar FF","Halmstads BK",2,1,4677
"Allsvenskan 2006",2006-07-15,10,"Malmö FF",AIK,3,1,14572
"Allsvenskan 2006",2006-07-16,10,"Djurgårdens IF","IF Elfsborg",1,1,10371
"Allsvenskan 2006",2006-07-16,10,"Halmstads BK","IFK Göteborg",1,4,10134
"Allsvenskan 2006",2006-07-17,10,"Hammarby IF","Östers IF",2,0,12752
"Allsvenskan 2006",2006-07-17,10,"Helsingborgs IF","BK Häcken",1,3,17100
"Allsvenskan 2006",2006-07-18,10,GAIS,"Gefle IF",1,0,4558
"Allsvenskan 2006",2006-07-19,10,"Örgryte IS","Kalmar FF",1,3,3969
"Allsvenskan 2006",2006-07-20,11,"BK Häcken","Djurgårdens IF",0,2,10956
"Allsvenskan 2006",2006-07-22,11,"Örgryte IS","Helsingborgs IF",1,1,4133
"Allsvenskan 2006",2006-07-23,11,AIK,"Halmstads BK",3,0,14833
"Allsvenskan 2006",2006-07-23,11,"Gefle IF","Malmö FF",4,3,5903
"Allsvenskan 2006",2006-07-24,11,"Östers IF",GAIS,2,2,4586
"Allsvenskan 2006",2006-07-25,11,"IF Elfsborg","Hammarby IF",3,0,13127
"Allsvenskan 2006",2006-08-03,11,"Kalmar FF","IFK Göteborg",1,2,6597
"Allsvenskan 2006",2006-07-29,12,"Djurgårdens IF","Örgryte IS",2,2,9915
"Allsvenskan 2006",2006-07-30,12,GAIS,"IF Elfsborg",0,3,7565
"Allsvenskan 2006",2006-07-30,12,"Hammarby IF","BK Häcken",3,0,13312
"Allsvenskan 2006",2006-07-31,12,"Halmstads BK","Gefle IF",3,0,4818
"Allsvenskan 2006",2006-07-31,12,"Helsingborgs IF","Kalmar FF",2,1,12075
"Allsvenskan 2006",2006-07-31,12,"IFK Göteborg",AIK,1,1,13124
"Allsvenskan 2006",2006-07-31,12,"Malmö FF","Östers IF",2,0,14557
"Allsvenskan 2006",2006-08-02,13,"BK Häcken",GAIS,0,2,3645
"Allsvenskan 2006",2006-08-03,13,"Örgryte IS","Hammarby IF",1,3,4271
"Allsvenskan 2006",2006-08-05,13,"Djurgårdens IF","Helsingborgs IF",2,1,14825
"Allsvenskan 2006",2006-08-06,13,AIK,"Kalmar FF",1,0,15652
"Allsvenskan 2006",2006-08-06,13,"IFK Göteborg","Gefle IF",3,1,6707
"Allsvenskan 2006",2006-08-07,13,"Östers IF","Halmstads BK",3,1,4528
"Allsvenskan 2006",2006-08-08,13,"IF Elfsborg","Malmö FF",4,2,12899
"Allsvenskan 2006",2006-08-09,14,GAIS,"BK Häcken",2,2,4199
"Allsvenskan 2006",2006-08-12,14,"Hammarby IF","Örgryte IS",0,1,12408
"Allsvenskan 2006",2006-08-12,14,"Kalmar FF",AIK,1,3,5093
"Allsvenskan 2006",2006-08-13,14,"Gefle IF","IFK Göteborg",1,0,5460
"Allsvenskan 2006",2006-08-13,14,"Halmstads BK","Östers IF",1,0,4689
"Allsvenskan 2006",2006-08-13,14,"Malmö FF","IF Elfsborg",1,1,14324
"Allsvenskan 2006",2006-08-13,14,"Helsingborgs IF","Djurgårdens IF",1,1,12500
"Allsvenskan 2006",2006-08-19,15,"Djurgårdens IF","Kalmar FF",0,1,9587
"Allsvenskan 2006",2006-08-20,15,"BK Häcken","Malmö FF",1,3,1840
"Allsvenskan 2006",2006-08-21,15,"Gefle IF",AIK,1,1,7151
"Allsvenskan 2006",2006-08-21,15,"Örgryte IS",GAIS,1,0,9167
"Allsvenskan 2006",2006-08-21,15,"Östers IF","IFK Göteborg",1,1,5029
"Allsvenskan 2006",2006-08-22,15,"IF Elfsborg","Halmstads BK",3,0,12782
"Allsvenskan 2006",2006-08-22,15,"Helsingborgs IF","Hammarby IF",3,1,12083
"Allsvenskan 2006",2006-08-27,16,AIK,"Östers IF",5,1,18100
"Allsvenskan 2006",2006-08-27,16,"Halmstads BK","BK Häcken",2,2,4588
"Allsvenskan 2006",2006-08-28,16,"IFK Göteborg","IF Elfsborg",1,1,14499
"Allsvenskan 2006",2006-08-28,16,"Kalmar FF","Gefle IF",2,1,3688
"Allsvenskan 2006",2006-08-28,16,"Malmö FF","Örgryte IS",4,2,12159
"Allsvenskan 2006",2006-08-28,16,"Hammarby IF","Djurgårdens IF",0,3,15092
"Allsvenskan 2006",2006-09-08,16,GAIS,"Helsingborgs IF",0,2,4026
"Allsvenskan 2006",2006-09-09,17,"IF Elfsborg",AIK,1,1,15756
"Allsvenskan 2006",2006-09-10,17,"Hammarby IF","Kalmar FF",1,2,9110
"Allsvenskan 2006",2006-09-11,17,"Djurgårdens IF",GAIS,0,2,9815
"Allsvenskan 2006",2006-09-11,17,"Örgryte IS","Halmstads BK",1,2,3827
"Allsvenskan 2006",2006-09-11,17,"Östers IF","Gefle IF",1,2,3661
"Allsvenskan 2006",2006-09-12,17,"BK Häcken","IFK Göteborg",1,4,5022
"Allsvenskan 2006",2006-09-12,17,"Helsingborgs IF","Malmö FF",3,1,17000
"Allsvenskan 2006",2006-09-16,18,GAIS,"Hammarby IF",2,2,4228
"Allsvenskan 2006",2006-09-16,18,"Gefle IF","IF Elfsborg",1,1,5906
"Allsvenskan 2006",2006-09-16,18,"Malmö FF","Djurgårdens IF",0,1,15162
"Allsvenskan 2006",2006-09-17,18,AIK,"BK Häcken",1,0,15724
"Allsvenskan 2006",2006-09-17,18,"Halmstads BK","Helsingborgs IF",1,1,8247
"Allsvenskan 2006",2006-09-18,18,"Kalmar FF","Östers IF",3,0,6228
"Allsvenskan 2006",2006-09-18,18,"Örgryte IS","IFK Göteborg",3,2,13221
"Allsvenskan 2006",2006-09-20,19,"BK Häcken","IF Elfsborg",1,4,2643
"Allsvenskan 2006",2006-09-20,19,GAIS,"Halmstads BK",1,1,3331
"Allsvenskan 2006",2006-09-20,19,"Helsingborgs IF","Gefle IF",2,0,9164
"Allsvenskan 2006",2006-09-20,19,"Djurgårdens IF",AIK,0,1,31890
"Allsvenskan 2006",2006-09-21,19,"Hammarby IF","IFK Göteborg",3,3,9812
"Allsvenskan 2006",2006-09-21,19,"Malmö FF","Kalmar FF",2,2,10035
"Allsvenskan 2006",2006-09-21,19,"Örgryte IS","Östers IF",0,2,2790
"Allsvenskan 2006",2006-09-24,20,"Halmstads BK","Malmö FF",2,2,6428
"Allsvenskan 2006",2006-09-25,20,"Gefle IF","Djurgårdens IF",2,0,5502
"Allsvenskan 2006",2006-09-25,20,"IFK Göteborg",GAIS,0,0,20118
"Allsvenskan 2006",2006-09-25,20,"Kalmar FF","BK Häcken",0,0,4149
"Allsvenskan 2006",2006-09-26,20,AIK,"Hammarby IF",0,2,29117
"Allsvenskan 2006",2006-09-26,20,"IF Elfsborg","Örgryte IS",2,0,12642
"Allsvenskan 2006",2006-09-26,20,"Östers IF","Helsingborgs IF",0,3,8047
"Allsvenskan 2006",2006-09-30,21,"Helsingborgs IF","IFK Göteborg",3,2,12591
"Allsvenskan 2006",2006-09-30,21,GAIS,"Kalmar FF",2,2,2905
"Allsvenskan 2006",2006-10-01,21,"Djurgårdens IF","Halmstads BK",2,1,7509
"Allsvenskan 2006",2006-10-01,21,"BK Häcken","Gefle IF",4,1,1087
"Allsvenskan 2006",2006-10-02,21,"Örgryte IS",AIK,0,0,3685
"Allsvenskan 2006",2006-10-02,21,"IF Elfsborg","Östers IF",0,0,12131
"Allsvenskan 2006",2006-10-02,21,"Hammarby IF","Malmö FF",2,2,10096
"Allsvenskan 2006",2006-10-14,22,AIK,"Helsingborgs IF",2,2,22514
"Allsvenskan 2006",2006-10-15,22,"Gefle IF","Örgryte IS",2,0,4491
"Allsvenskan 2006",2006-10-15,22,"Östers IF","BK Häcken",1,1,3624
"Allsvenskan 2006",2006-10-16,22,"Halmstads BK","Hammarby IF",0,0,6259
"Allsvenskan 2006",2006-10-16,22,"Kalmar FF","IF Elfsborg",0,1,6015
"Allsvenskan 2006",2006-10-16,22,"Malmö FF",GAIS,2,0,9019
"Allsvenskan 2006",2006-10-17,22,"IFK Göteborg","Djurgårdens IF",3,2,7102
"Allsvenskan 2006",2006-10-21,23,"Halmstads BK",AIK,2,2,5685
"Allsvenskan 2006",2006-10-22,23,"Malmö FF","Gefle IF",2,2,7493
"Allsvenskan 2006",2006-10-22,23,"Helsingborgs IF","Örgryte IS",2,1,10927
"Allsvenskan 2006",2006-10-22,23,"Djurgårdens IF","BK Häcken",2,1,6521
"Allsvenskan 2006",2006-10-22,23,GAIS,"Östers IF",1,1,4147
"Allsvenskan 2006",2006-10-23,23,"Hammarby IF","IF Elfsborg",1,0,10281
"Allsvenskan 2006",2006-10-23,23,"IFK Göteborg","Kalmar FF",0,3,5213
"Allsvenskan 2006",2006-10-25,24,"Örgryte IS","Djurgårdens IF",1,1,3088
"Allsvenskan 2006",2006-10-25,24,"Östers IF","Malmö FF",2,1,4445
"Allsvenskan 2006",2006-10-26,24,AIK,"IFK Göteborg",4,0,19153
"Allsvenskan 2006",2006-10-26,24,"BK Häcken","Hammarby IF",0,0,1125
"Allsvenskan 2006",2006-10-26,24,"Gefle IF","Halmstads BK",0,2,2440
"Allsvenskan 2006",2006-10-26,24,"IF Elfsborg",GAIS,1,0,14185
"Allsvenskan 2006",2006-10-26,24,"Kalmar FF","Helsingborgs IF",2,4,6289
"Allsvenskan 2006",2006-10-29,25,"Halmstads BK","Kalmar FF",0,1,4347
"Allsvenskan 2006",2006-10-29,25,"Helsingborgs IF","IF Elfsborg",1,1,16325
"Allsvenskan 2006",2006-10-29,25,"Örgryte IS","BK Häcken",1,1,3829
"Allsvenskan 2006",2006-10-30,25,"Djurgårdens IF","Östers IF",2,0,6672
"Allsvenskan 2006",2006-10-30,25,GAIS,AIK,0,0,5213
"Allsvenskan 2006",2006-10-30,25,"Malmö FF","IFK Göteborg",2,1,9514
"Allsvenskan 2006",2006-10-31,25,"Hammarby IF","Gefle IF",1,0,8842
"Allsvenskan 2006",2006-11-05,26,AIK,"Malmö FF",3,0,30999
"Allsvenskan 2006",2006-11-05,26,"BK Häcken","Helsingborgs IF",3,0,2211
"Allsvenskan 2006",2006-11-05,26,"Gefle IF",GAIS,2,2,2070
"Allsvenskan 2006",2006-11-05,26,"IF Elfsborg","Djurgårdens IF",1,0,16572
"Allsvenskan 2006",2006-11-05,26,"IFK Göteborg","Halmstads BK",0,0,4580
"Allsvenskan 2006",2006-11-05,26,"Kalmar FF","Örgryte IS",2,1,3636
"Allsvenskan 2006",2006-11-05,26,"Östers IF","Hammarby IF",1,2,5382
