leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2000",2000-07-05,9,"Örebro SK","Trelleborgs FF",2,2,4568
"Allsvenskan 2000",2000-07-05,9,"IFK Norrköping",AIK,3,0,12426
"Allsvenskan 2000",2000-07-05,9,"Helsingborgs IF","Västra Frölunda IF",4,0,7044
"Allsvenskan 2000",2000-07-05,9,"GIF Sundsvall","IFK Göteborg",2,2,9000
"Allsvenskan 2000",2000-07-04,9,"Hammarby IF","IF Elfsborg",2,3,10331
"Allsvenskan 2000",2000-07-04,9,GAIS,"Halmstads BK",0,0,4917
"Allsvenskan 2000",2000-05-30,8,"Västra Frölunda IF","BK Häcken",0,0,1339
"Allsvenskan 2000",2000-05-29,8,"IF Elfsborg","Örgryte IS",4,1,6062
"Allsvenskan 2000",2000-05-29,8,"Helsingborgs IF","GIF Sundsvall",0,1,6698
"Allsvenskan 2000",2000-05-29,8,GAIS,AIK,1,2,4212
"Allsvenskan 2000",2000-05-28,8,"Trelleborgs FF","Hammarby IF",1,2,2945
"Allsvenskan 2000",2000-05-28,8,"IFK Göteborg","IFK Norrköping",2,2,5496
"Allsvenskan 2000",2000-05-28,8,"Halmstads BK","Örebro SK",0,1,4787
"Allsvenskan 2000",2000-05-22,7,"Örebro SK",AIK,1,0,9855
"Allsvenskan 2000",2000-05-22,7,"IFK Norrköping","Helsingborgs IF",0,1,9113
"Allsvenskan 2000",2000-05-22,7,"Hammarby IF","Halmstads BK",2,4,10601
"Allsvenskan 2000",2000-05-22,7,GAIS,"IFK Göteborg",1,1,31225
"Allsvenskan 2000",2000-05-21,7,"Örgryte IS","Trelleborgs FF",0,2,3032
"Allsvenskan 2000",2000-05-21,7,"GIF Sundsvall","Västra Frölunda IF",3,2,3419
"Allsvenskan 2000",2000-05-21,7,"BK Häcken","IF Elfsborg",2,3,1980
"Allsvenskan 2000",2000-05-16,6,"Hammarby IF","IFK Göteborg",1,0,10769
"Allsvenskan 2000",2000-05-15,6,"Örgryte IS",AIK,0,2,6032
"Allsvenskan 2000",2000-05-15,6,"Örebro SK","Helsingborgs IF",0,2,7684
"Allsvenskan 2000",2000-05-15,6,"IFK Norrköping","Västra Frölunda IF",3,1,5603
"Allsvenskan 2000",2000-05-14,6,"IF Elfsborg","Trelleborgs FF",1,0,5152
"Allsvenskan 2000",2000-05-14,6,GAIS,"GIF Sundsvall",1,1,3672
"Allsvenskan 2000",2000-05-14,6,"BK Häcken","Halmstads BK",2,4,2047
"Allsvenskan 2000",2000-05-08,5,"IFK Göteborg","Örebro SK",4,1,6200
"Allsvenskan 2000",2000-05-08,5,"Helsingborgs IF",GAIS,2,0,8495
"Allsvenskan 2000",2000-05-08,5,"GIF Sundsvall","IFK Norrköping",1,2,3959
"Allsvenskan 2000",2000-05-08,5,AIK,"Hammarby IF",1,0,34004
"Allsvenskan 2000",2000-05-07,5,"Västra Frölunda IF","IF Elfsborg",1,0,1737
"Allsvenskan 2000",2000-05-07,5,"Trelleborgs FF","BK Häcken",2,0,2318
"Allsvenskan 2000",2000-05-07,5,"Halmstads BK","Örgryte IS",0,1,8348
"Allsvenskan 2000",2000-05-02,4,"IFK Norrköping","Hammarby IF",0,1,12464
"Allsvenskan 2000",2000-05-01,4,"IFK Göteborg","IF Elfsborg",1,0,10305
"Allsvenskan 2000",2000-05-01,4,"Helsingborgs IF","BK Häcken",2,2,8352
"Allsvenskan 2000",2000-05-01,4,AIK,"Trelleborgs FF",1,0,13565
"Allsvenskan 2000",2000-04-30,4,"GIF Sundsvall","Örgryte IS",0,2,4834
"Allsvenskan 2000",2000-04-30,4,"Västra Frölunda IF","Halmstads BK",0,1,1413
"Allsvenskan 2000",2000-04-30,4,GAIS,"Örebro SK",2,2,4961
"Allsvenskan 2000",2000-04-24,3,"BK Häcken","GIF Sundsvall",2,1,1610
"Allsvenskan 2000",2000-04-22,3,"Hammarby IF",GAIS,2,1,10728
"Allsvenskan 2000",2000-04-21,3,"Örgryte IS","IFK Norrköping",2,0,4508
"Allsvenskan 2000",2000-04-21,3,"Örebro SK","Västra Frölunda IF",6,0,6203
"Allsvenskan 2000",2000-04-21,3,"Trelleborgs FF","IFK Göteborg",1,1,3275
"Allsvenskan 2000",2000-04-21,3,"IF Elfsborg","Helsingborgs IF",2,3,6363
"Allsvenskan 2000",2000-04-21,3,"Halmstads BK",AIK,4,0,9006
"Allsvenskan 2000",2000-05-04,2,"Halmstads BK","IF Elfsborg",1,0,5683
"Allsvenskan 2000",2000-04-18,2,"IFK Norrköping",GAIS,3,0,9823
"Allsvenskan 2000",2000-04-17,2,"IFK Göteborg","Örgryte IS",2,0,17023
"Allsvenskan 2000",2000-04-17,2,"Helsingborgs IF","Hammarby IF",0,0,12793
"Allsvenskan 2000",2000-04-17,2,AIK,"BK Häcken",1,1,15353
"Allsvenskan 2000",2000-04-16,2,"Västra Frölunda IF","Trelleborgs FF",0,1,802
"Allsvenskan 2000",2000-04-16,2,"GIF Sundsvall","Örebro SK",2,2,5430
"Allsvenskan 2000",2000-04-10,1,"IF Elfsborg",AIK,1,2,9449
"Allsvenskan 2000",2000-04-10,1,"Hammarby IF","GIF Sundsvall",0,1,10804
"Allsvenskan 2000",2000-04-10,1,"BK Häcken","IFK Göteborg",1,3,7353
"Allsvenskan 2000",2000-04-09,1,"Örebro SK","IFK Norrköping",1,1,8667
"Allsvenskan 2000",2000-04-08,1,"Örgryte IS","Helsingborgs IF",2,0,7151
"Allsvenskan 2000",2000-04-09,1,GAIS,"Västra Frölunda IF",0,0,8485
