leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1977",1977-04-11,1,"Djurgårdens IF","Landskrona BoIS",1,2,3215
"Allsvenskan 1977",1977-04-11,1,"IFK Göteborg",AIK,1,1,22279
"Allsvenskan 1977",1977-04-12,1,"Hammarby IF","Kalmar FF",0,1,6359
"Allsvenskan 1977",1977-04-17,1,"Malmö FF","BK Derby",1,0,5179
"Allsvenskan 1977",1977-04-19,1,"Halmstads BK","Örebro SK",0,0,7394
"Allsvenskan 1977",1977-04-19,1,"Östers IF","IF Elfsborg",0,0,3536
"Allsvenskan 1977",1977-05-12,1,"IFK Norrköping","IFK Sundsvall",5,3,2879
"Allsvenskan 1977",1977-04-16,2,AIK,"Östers IF",2,1,7660
"Allsvenskan 1977",1977-04-16,2,"IF Elfsborg","Halmstads BK",2,2,10016
"Allsvenskan 1977",1977-04-16,2,"Kalmar FF","IFK Norrköping",0,2,6302
"Allsvenskan 1977",1977-04-16,2,"Landskrona BoIS","IFK Göteborg",1,1,9101
"Allsvenskan 1977",1977-04-16,2,"IFK Sundsvall","Djurgårdens IF",2,0,5588
"Allsvenskan 1977",1977-05-04,2,"BK Derby","Hammarby IF",0,0,2838
"Allsvenskan 1977",1977-05-04,2,"Örebro SK","Malmö FF",0,1,2240
"Allsvenskan 1977",1977-04-21,3,"Djurgårdens IF","IFK Norrköping",0,0,3523
"Allsvenskan 1977",1977-04-23,3,"BK Derby","Kalmar FF",1,0,5916
"Allsvenskan 1977",1977-04-23,3,"IFK Göteborg","IFK Sundsvall",2,0,17569
"Allsvenskan 1977",1977-04-23,3,"Halmstads BK",AIK,1,1,7848
"Allsvenskan 1977",1977-04-23,3,"Hammarby IF","Örebro SK",2,1,6246
"Allsvenskan 1977",1977-04-23,3,"Malmö FF","IF Elfsborg",1,1,4984
"Allsvenskan 1977",1977-04-23,3,"Östers IF","Landskrona BoIS",1,0,3211
"Allsvenskan 1977",1977-05-01,4,AIK,"Malmö FF",1,1,10408
"Allsvenskan 1977",1977-05-01,4,"IF Elfsborg","Hammarby IF",2,1,9263
"Allsvenskan 1977",1977-05-01,4,"Kalmar FF","Djurgårdens IF",3,1,5066
"Allsvenskan 1977",1977-05-01,4,"Landskrona BoIS","Halmstads BK",3,1,5160
"Allsvenskan 1977",1977-05-01,4,"IFK Norrköping","IFK Göteborg",1,3,15834
"Allsvenskan 1977",1977-05-01,4,"IFK Sundsvall","Östers IF",0,1,7751
"Allsvenskan 1977",1977-05-01,4,"Örebro SK","BK Derby",1,0,5001
"Allsvenskan 1977",1977-05-07,5,"BK Derby",AIK,1,0,4471
"Allsvenskan 1977",1977-05-07,5,"IFK Göteborg","Kalmar FF",2,2,23168
"Allsvenskan 1977",1977-05-07,5,"Halmstads BK","IFK Norrköping",4,0,6629
"Allsvenskan 1977",1977-05-07,5,"Hammarby IF","Landskrona BoIS",1,2,4924
"Allsvenskan 1977",1977-05-07,5,"Malmö FF","IFK Sundsvall",2,3,6890
"Allsvenskan 1977",1977-05-07,5,"Örebro SK","IF Elfsborg",2,1,3090
"Allsvenskan 1977",1977-05-07,5,"Östers IF","Djurgårdens IF",0,0,3387
"Allsvenskan 1977",1977-05-12,6,AIK,"Hammarby IF",0,3,14917
"Allsvenskan 1977",1977-05-12,6,"Landskrona BoIS","Malmö FF",1,1,10849
"Allsvenskan 1977",1977-05-15,6,"Djurgårdens IF","IFK Göteborg",4,0,12192
"Allsvenskan 1977",1977-05-15,6,"IF Elfsborg","BK Derby",4,0,9015
"Allsvenskan 1977",1977-05-15,6,"Kalmar FF","Örebro SK",1,0,5506
"Allsvenskan 1977",1977-05-15,6,"IFK Norrköping","Östers IF",1,0,6039
"Allsvenskan 1977",1977-05-15,6,"IFK Sundsvall","Halmstads BK",2,0,3818
"Allsvenskan 1977",1977-05-22,7,"Halmstads BK","Kalmar FF",0,0,9130
"Allsvenskan 1977",1977-05-22,7,"Landskrona BoIS",AIK,0,2,6451
"Allsvenskan 1977",1977-05-22,7,"IFK Norrköping","Örebro SK",1,1,5426
"Allsvenskan 1977",1977-05-22,7,"IFK Sundsvall","IF Elfsborg",1,2,7852
"Allsvenskan 1977",1977-05-22,7,"Östers IF","Malmö FF",0,0,9355
"Allsvenskan 1977",1977-05-23,7,"Djurgårdens IF","BK Derby",2,1,6102
"Allsvenskan 1977",1977-05-23,7,"IFK Göteborg","Hammarby IF",3,2,22904
"Allsvenskan 1977",1977-05-30,8,AIK,"IFK Sundsvall",2,2,5364
"Allsvenskan 1977",1977-05-30,8,"BK Derby","IFK Göteborg",0,0,8903
"Allsvenskan 1977",1977-05-30,8,"IF Elfsborg","IFK Norrköping",1,1,10870
"Allsvenskan 1977",1977-05-30,8,"Hammarby IF","Östers IF",1,0,5556
"Allsvenskan 1977",1977-05-30,8,"Kalmar FF","Landskrona BoIS",1,0,5822
"Allsvenskan 1977",1977-05-30,8,"Malmö FF","Halmstads BK",2,1,11947
"Allsvenskan 1977",1977-05-30,8,"Örebro SK","Djurgårdens IF",2,2,4756
"Allsvenskan 1977",1977-06-02,9,"Djurgårdens IF",AIK,1,1,28212
"Allsvenskan 1977",1977-06-02,9,"IFK Göteborg","IF Elfsborg",1,2,48296
"Allsvenskan 1977",1977-06-02,9,"Halmstads BK","BK Derby",2,0,6888
"Allsvenskan 1977",1977-06-02,9,"Malmö FF","Hammarby IF",6,0,7781
"Allsvenskan 1977",1977-06-02,9,"IFK Norrköping","Landskrona BoIS",0,3,5573
"Allsvenskan 1977",1977-06-02,9,"IFK Sundsvall","Kalmar FF",2,2,5466
"Allsvenskan 1977",1977-06-02,9,"Östers IF","Örebro SK",3,0,2656
"Allsvenskan 1977",1977-06-12,10,"BK Derby","Östers IF",2,2,5090
"Allsvenskan 1977",1977-06-12,10,"IF Elfsborg","Djurgårdens IF",0,0,10382
"Allsvenskan 1977",1977-06-12,10,"Hammarby IF","Halmstads BK",2,1,6521
"Allsvenskan 1977",1977-06-12,10,"Kalmar FF","Malmö FF",0,1,9357
"Allsvenskan 1977",1977-06-12,10,"Landskrona BoIS","IFK Sundsvall",2,2,4595
"Allsvenskan 1977",1977-06-12,10,"Örebro SK","IFK Göteborg",4,4,10032
"Allsvenskan 1977",1977-06-13,10,AIK,"IFK Norrköping",1,2,7986
"Allsvenskan 1977",1977-06-18,11,AIK,"IF Elfsborg",1,1,4764
"Allsvenskan 1977",1977-06-19,11,"Djurgårdens IF","Malmö FF",0,1,5898
"Allsvenskan 1977",1977-06-19,11,"IFK Göteborg","Halmstads BK",2,2,19752
"Allsvenskan 1977",1977-06-19,11,"Landskrona BoIS","Örebro SK",3,2,4946
"Allsvenskan 1977",1977-06-19,11,"IFK Norrköping","Hammarby IF",0,0,5166
"Allsvenskan 1977",1977-06-19,11,"IFK Sundsvall","BK Derby",1,0,6545
"Allsvenskan 1977",1977-06-19,11,"Östers IF","Kalmar FF",1,1,12207
"Allsvenskan 1977",1977-06-22,12,"BK Derby","IFK Norrköping",0,1,9655
"Allsvenskan 1977",1977-06-22,12,"IF Elfsborg","Landskrona BoIS",2,2,8818
"Allsvenskan 1977",1977-06-22,12,"Halmstads BK","Östers IF",1,3,9737
"Allsvenskan 1977",1977-06-22,12,"Hammarby IF","Djurgårdens IF",3,1,15407
"Allsvenskan 1977",1977-06-22,12,"Kalmar FF",AIK,2,1,6192
"Allsvenskan 1977",1977-06-22,12,"Malmö FF","IFK Göteborg",1,0,24130
"Allsvenskan 1977",1977-06-22,12,"Örebro SK","IFK Sundsvall",2,0,3981
"Allsvenskan 1977",1977-06-29,13,"Djurgårdens IF","Halmstads BK",1,1,4125
"Allsvenskan 1977",1977-06-29,13,"IFK Göteborg","Östers IF",4,1,33124
"Allsvenskan 1977",1977-06-29,13,"Landskrona BoIS","BK Derby",3,1,2584
"Allsvenskan 1977",1977-07-03,13,AIK,"Örebro SK",3,3,3090
"Allsvenskan 1977",1977-07-03,13,"Kalmar FF","IF Elfsborg",2,0,7084
"Allsvenskan 1977",1977-07-03,13,"IFK Sundsvall","Hammarby IF",0,1,6967
"Allsvenskan 1977",1977-09-22,13,"IFK Norrköping","Malmö FF",2,2,13726
"Allsvenskan 1977",1977-07-31,14,"IF Elfsborg","Kalmar FF",1,3,9703
"Allsvenskan 1977",1977-07-31,14,"Hammarby IF","IFK Sundsvall",0,2,7172
"Allsvenskan 1977",1977-07-31,14,"Örebro SK",AIK,1,0,5064
"Allsvenskan 1977",1977-08-03,14,"BK Derby","Landskrona BoIS",1,5,4493
"Allsvenskan 1977",1977-08-03,14,"Halmstads BK","Djurgårdens IF",4,0,7947
"Allsvenskan 1977",1977-08-03,14,"Malmö FF","IFK Norrköping",0,0,10015
"Allsvenskan 1977",1977-08-03,14,"Östers IF","IFK Göteborg",6,0,17177
"Allsvenskan 1977",1977-08-07,15,"Halmstads BK","IF Elfsborg",1,0,11981
"Allsvenskan 1977",1977-08-07,15,"Hammarby IF","BK Derby",3,1,5487
"Allsvenskan 1977",1977-08-07,15,"Malmö FF","Örebro SK",1,1,7024
"Allsvenskan 1977",1977-08-07,15,"IFK Norrköping","Kalmar FF",3,1,5709
"Allsvenskan 1977",1977-08-07,15,"Östers IF",AIK,0,0,6210
"Allsvenskan 1977",1977-08-08,15,"Djurgårdens IF","IFK Sundsvall",2,2,5189
"Allsvenskan 1977",1977-08-08,15,"IFK Göteborg","Landskrona BoIS",4,1,21976
"Allsvenskan 1977",1977-08-11,16,AIK,"IFK Göteborg",3,6,16822
"Allsvenskan 1977",1977-08-11,16,"BK Derby","Malmö FF",0,5,4753
"Allsvenskan 1977",1977-08-11,16,"IF Elfsborg","Östers IF",0,0,9560
"Allsvenskan 1977",1977-08-11,16,"Kalmar FF","Hammarby IF",1,1,6679
"Allsvenskan 1977",1977-08-11,16,"Landskrona BoIS","Djurgårdens IF",1,2,3846
"Allsvenskan 1977",1977-08-11,16,"IFK Sundsvall","IFK Norrköping",4,6,5320
"Allsvenskan 1977",1977-08-11,16,"Örebro SK","Halmstads BK",3,0,5656
"Allsvenskan 1977",1977-08-14,17,"Djurgårdens IF","IF Elfsborg",0,2,4572
"Allsvenskan 1977",1977-08-14,17,"IFK Göteborg","Örebro SK",0,0,25917
"Allsvenskan 1977",1977-08-14,17,"Halmstads BK","Hammarby IF",4,0,8637
"Allsvenskan 1977",1977-08-14,17,"Malmö FF","Kalmar FF",2,0,11585
"Allsvenskan 1977",1977-08-14,17,"IFK Norrköping",AIK,5,0,6823
"Allsvenskan 1977",1977-08-14,17,"IFK Sundsvall","Landskrona BoIS",0,0,5177
"Allsvenskan 1977",1977-08-14,17,"Östers IF","BK Derby",3,0,3409
"Allsvenskan 1977",1977-08-21,18,"BK Derby","Halmstads BK",1,1,2257
"Allsvenskan 1977",1977-08-21,18,"Hammarby IF","Malmö FF",1,2,9295
"Allsvenskan 1977",1977-08-21,18,"Kalmar FF","IFK Sundsvall",1,1,5348
"Allsvenskan 1977",1977-08-21,18,"Landskrona BoIS","IFK Norrköping",2,1,6010
"Allsvenskan 1977",1977-08-21,18,"Örebro SK","Östers IF",1,1,6728
"Allsvenskan 1977",1977-08-23,18,AIK,"Djurgårdens IF",2,0,26157
"Allsvenskan 1977",1977-08-24,18,"IF Elfsborg","IFK Göteborg",4,0,20071
"Allsvenskan 1977",1977-08-25,19,"IFK Norrköping","Halmstads BK",2,2,6560
"Allsvenskan 1977",1977-08-28,19,AIK,"BK Derby",0,0,4784
"Allsvenskan 1977",1977-08-28,19,"IF Elfsborg","Örebro SK",2,0,9111
"Allsvenskan 1977",1977-08-28,19,"Kalmar FF","IFK Göteborg",5,1,12384
"Allsvenskan 1977",1977-08-28,19,"Landskrona BoIS","Hammarby IF",4,0,4981
"Allsvenskan 1977",1977-08-28,19,"IFK Sundsvall","Malmö FF",1,1,8024
"Allsvenskan 1977",1977-08-29,19,"Djurgårdens IF","Östers IF",2,2,5285
"Allsvenskan 1977",1977-09-01,20,"BK Derby","IF Elfsborg",0,3,4033
