leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1971",1971-04-12,1,"Djurgårdens IF","Landskrona BoIS",3,1,6859
"Allsvenskan 1971",1971-04-12,1,"Malmö FF","IF Elfsborg",1,0,15831
"Allsvenskan 1971",1971-04-12,1,"IFK Norrköping","Örebro SK",1,0,8350
"Allsvenskan 1971",1971-04-12,1,"Örgryte IS","IFK Luleå",2,3,10621
"Allsvenskan 1971",1971-04-12,1,"Östers IF","Hammarby IF",0,0,14800
"Allsvenskan 1971",1971-04-14,1,AIK,"Åtvidabergs FF",0,0,8136
"Allsvenskan 1971",1971-04-18,2,"IF Elfsborg","IFK Norrköping",0,1,7018
"Allsvenskan 1971",1971-04-18,2,"Hammarby IF","Malmö FF",1,1,17625
"Allsvenskan 1971",1971-04-18,2,"Landskrona BoIS","Örgryte IS",1,1,7208
"Allsvenskan 1971",1971-04-18,2,"IFK Luleå","Östers IF",2,2,9250
"Allsvenskan 1971",1971-04-18,2,"Åtvidabergs FF","Djurgårdens IF",4,0,5961
"Allsvenskan 1971",1971-04-18,2,"Örebro SK",AIK,1,3,5642
"Allsvenskan 1971",1971-04-24,3,AIK,"Östers IF",1,1,11535
"Allsvenskan 1971",1971-04-25,3,"IF Elfsborg","Landskrona BoIS",0,1,6912
"Allsvenskan 1971",1971-04-25,3,"Hammarby IF","IFK Luleå",0,2,12032
"Allsvenskan 1971",1971-04-25,3,"Malmö FF","Örgryte IS",2,0,13474
"Allsvenskan 1971",1971-04-25,3,"IFK Norrköping","Djurgårdens IF",0,1,6912
"Allsvenskan 1971",1971-04-25,3,"Örebro SK","Åtvidabergs FF",0,2,6388
"Allsvenskan 1971",1971-05-02,4,"Djurgårdens IF","Örebro SK",1,2,4122
"Allsvenskan 1971",1971-05-02,4,"Landskrona BoIS","Hammarby IF",0,0,10049
"Allsvenskan 1971",1971-05-02,4,"IFK Luleå",AIK,0,4,11521
"Allsvenskan 1971",1971-05-02,4,"Åtvidabergs FF","IF Elfsborg",3,0,6274
"Allsvenskan 1971",1971-05-02,4,"Örgryte IS","IFK Norrköping",1,1,8583
"Allsvenskan 1971",1971-05-02,4,"Östers IF","Malmö FF",2,2,14335
"Allsvenskan 1971",1971-05-09,5,AIK,"Örgryte IS",1,1,9387
"Allsvenskan 1971",1971-05-09,5,"IF Elfsborg","Hammarby IF",3,2,6865
"Allsvenskan 1971",1971-05-09,5,"Malmö FF","Åtvidabergs FF",1,0,19090
"Allsvenskan 1971",1971-05-09,5,"IFK Norrköping","Landskrona BoIS",1,0,4623
"Allsvenskan 1971",1971-05-09,5,"Örebro SK","IFK Luleå",0,0,9680
"Allsvenskan 1971",1971-05-09,5,"Östers IF","Djurgårdens IF",0,0,8232
"Allsvenskan 1971",1971-05-12,6,"Hammarby IF",AIK,2,0,27608
"Allsvenskan 1971",1971-05-16,6,"Djurgårdens IF","Malmö FF",4,3,10015
"Allsvenskan 1971",1971-05-16,6,"Landskrona BoIS","Örebro SK",2,0,7489
"Allsvenskan 1971",1971-05-16,6,"IFK Luleå","IF Elfsborg",1,0,8460
"Allsvenskan 1971",1971-05-16,6,"Åtvidabergs FF","IFK Norrköping",1,1,9813
"Allsvenskan 1971",1971-05-16,6,"Örgryte IS","Östers IF",1,0,8777
"Allsvenskan 1971",1971-05-31,7,AIK,"IF Elfsborg",3,1,7728
