leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1972",1972-04-15,1,AIK,"Örgryte IS",2,2,6542
"Allsvenskan 1972",1972-04-16,1,GAIS,"Åtvidabergs FF",0,3,8047
"Allsvenskan 1972",1972-04-16,1,"Malmö FF","Halmstads BK",5,2,11449
"Allsvenskan 1972",1972-04-16,1,"IFK Norrköping","Djurgårdens IF",3,2,7172
"Allsvenskan 1972",1972-04-16,1,"Örebro SK","Hammarby IF",0,1,5662
"Allsvenskan 1972",1972-04-16,1,"Östers IF","Landskrona BoIS",2,0,8359
"Allsvenskan 1972",1972-04-21,2,"Hammarby IF","Östers IF",0,0,7679
"Allsvenskan 1972",1972-04-23,2,"Djurgårdens IF",GAIS,4,2,3290
"Allsvenskan 1972",1972-04-23,2,"Halmstads BK","Örebro SK",0,0,7608
"Allsvenskan 1972",1972-04-23,2,"Landskrona BoIS","IFK Norrköping",0,0,7675
"Allsvenskan 1972",1972-04-23,2,"Åtvidabergs FF",AIK,0,0,3109
"Allsvenskan 1972",1972-04-23,2,"Örgryte IS","Malmö FF",1,0,9540
"Allsvenskan 1972",1972-05-01,3,"Djurgårdens IF","Landskrona BoIS",1,1,6762
"Allsvenskan 1972",1972-05-01,3,GAIS,"Hammarby IF",2,1,8141
"Allsvenskan 1972",1972-05-01,3,"Malmö FF","Åtvidabergs FF",1,0,13871
"Allsvenskan 1972",1972-05-01,3,"IFK Norrköping","Halmstads BK",2,1,7822
"Allsvenskan 1972",1972-05-01,3,"Örebro SK",AIK,0,1,5943
"Allsvenskan 1972",1972-05-01,3,"Östers IF","Örgryte IS",1,0,8991
"Allsvenskan 1972",1972-05-04,4,"Hammarby IF","IFK Norrköping",0,0,11462
"Allsvenskan 1972",1972-05-05,4,"Åtvidabergs FF","Djurgårdens IF",4,2,3666
"Allsvenskan 1972",1972-05-07,4,AIK,"Malmö FF",2,1,7241
"Allsvenskan 1972",1972-05-07,4,"Halmstads BK","Östers IF",0,3,8405
