leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1995";1995-04-09;1;"Degerfors IF";"Malmö FF";0;3;7048
"Allsvenskan 1995";1995-04-09;1;"Halmstads BK";"Helsingborgs IF";2;1;7952
"Allsvenskan 1995";1995-04-09;1;"Östers IF";AIK;0;2;4929
"Allsvenskan 1995";1995-04-09;1;"Trelleborgs FF";"Örebro SK";0;0;2789
"Allsvenskan 1995";1995-04-09;1;"Hammarby IF";"Västra Frölunda IF";3;1;10210
"Allsvenskan 1995";1995-04-10;1;"Örgryte IS";"IFK Norrköping";2;1;2885
"Allsvenskan 1995";1995-04-10;1;"Djurgårdens IF";"IFK Göteborg";1;1;10417
"Allsvenskan 1995";1995-04-15;2;"IFK Göteborg";"Halmstads BK";0;1;7018
"Allsvenskan 1995";1995-04-17;2;"Västra Frölunda IF";"Degerfors IF";0;0;1743
"Allsvenskan 1995";1995-04-17;2;"Örebro SK";"Hammarby IF";2;1;10006
"Allsvenskan 1995";1995-04-17;2;"IFK Norrköping";"Trelleborgs FF";2;2;4470
"Allsvenskan 1995";1995-04-17;2;AIK;"Örgryte IS";0;0;6357
"Allsvenskan 1995";1995-04-17;2;"Helsingborgs IF";"Östers IF";0;2;10836
"Allsvenskan 1995";1995-04-17;2;"Malmö FF";"Djurgårdens IF";0;0;6646
"Allsvenskan 1995";1995-05-01;3;"Hammarby IF";"IFK Norrköping";0;2;10054
"Allsvenskan 1995";1995-05-01;3;"Trelleborgs FF";AIK;1;0;3286
"Allsvenskan 1995";1995-05-01;3;"Halmstads BK";"Malmö FF";2;2;7616
"Allsvenskan 1995";1995-05-01;3;"Östers IF";"IFK Göteborg";0;0;6329
"Allsvenskan 1995";1995-05-01;3;"Örebro SK";"Västra Frölunda IF";4;4;6785
"Allsvenskan 1995";1995-05-01;3;"Örgryte IS";"Helsingborgs IF";0;1;3192
"Allsvenskan 1995";1995-05-01;3;"Djurgårdens IF";"Degerfors IF";2;0;5832
"Allsvenskan 1995";1995-05-08;4;"IFK Norrköping";"Örebro SK";1;0;3795
"Allsvenskan 1995";1995-05-08;4;AIK;"Hammarby IF";3;2;17859
"Allsvenskan 1995";1995-05-08;4;"IFK Göteborg";"Örgryte IS";3;0;8468
"Allsvenskan 1995";1995-05-08;4;"Helsingborgs IF";"Trelleborgs FF";2;1;4345
"Allsvenskan 1995";1995-05-08;4;"Malmö FF";"Östers IF";2;1;3136
"Allsvenskan 1995";1995-05-08;4;"Degerfors IF";"Halmstads BK";3;3;4091
"Allsvenskan 1995";1995-05-09;4;"Västra Frölunda IF";"Djurgårdens IF";2;2;1381
"Allsvenskan 1995";1995-05-13;5;"IFK Göteborg";"Västra Frölunda IF";1;1;4234
"Allsvenskan 1995";1995-05-13;5;"Hammarby IF";"Östers IF";2;2;6274
"Allsvenskan 1995";1995-05-14;5;"Örebro SK";"Halmstads BK";1;0;3551
"Allsvenskan 1995";1995-05-14;5;"Trelleborgs FF";"Örgryte IS";4;1;2047
"Allsvenskan 1995";1995-05-15;5;"Helsingborgs IF";"Malmö FF";2;1;11498
"Allsvenskan 1995";1995-05-15;5;"IFK Norrköping";"Djurgårdens IF";2;0;4082
"Allsvenskan 1995";1995-05-15;5;AIK;"Degerfors IF";1;2;2929
"Allsvenskan 1995";1995-05-17;6;"Örgryte IS";"Hammarby IF";0;1;2051
"Allsvenskan 1995";1995-05-18;6;"Västra Frölunda IF";"Trelleborgs FF";1;0;856
"Allsvenskan 1995";1995-05-18;6;"Malmö FF";"IFK Göteborg";1;1;7050
"Allsvenskan 1995";1995-05-18;6;"Degerfors IF";"Helsingborgs IF";2;2;3972
"Allsvenskan 1995";1995-05-18;6;"Djurgårdens IF";AIK;1;2;11159
"Allsvenskan 1995";1995-05-18;6;"Halmstads BK";"IFK Norrköping";2;0;3771
"Allsvenskan 1995";1995-05-18;6;"Östers IF";"Örebro SK";2;2;1902
"Allsvenskan 1995";1995-05-21;7;"IFK Norrköping";"Malmö FF";0;1;5738
"Allsvenskan 1995";1995-05-21;7;AIK;"IFK Göteborg";3;1;7660
"Allsvenskan 1995";1995-05-21;7;"Helsingborgs IF";"Västra Frölunda IF";1;0;7997
"Allsvenskan 1995";1995-05-21;7;"Örgryte IS";"Östers IF";4;2;1308
"Allsvenskan 1995";1995-05-21;7;"Trelleborgs FF";"Halmstads BK";4;0;2588
"Allsvenskan 1995";1995-05-22;7;"Örebro SK";"Degerfors IF";2;2;8003
"Allsvenskan 1995";1995-05-22;7;"Hammarby IF";"Djurgårdens IF";0;1;12822
"Allsvenskan 1995";1995-05-27;8;"Västra Frölunda IF";"Örgryte IS";0;1;2679
"Allsvenskan 1995";1995-05-28;8;"IFK Göteborg";"Helsingborgs IF";1;1;6780
"Allsvenskan 1995";1995-05-28;8;"Malmö FF";AIK;2;2;5135
"Allsvenskan 1995";1995-05-28;8;"Degerfors IF";"IFK Norrköping";0;3;5899
"Allsvenskan 1995";1995-05-28;8;"Djurgårdens IF";"Örebro SK";2;0;3919
"Allsvenskan 1995";1995-05-28;8;"Halmstads BK";"Hammarby IF";1;0;4476
"Allsvenskan 1995";1995-05-28;8;"Östers IF";"Trelleborgs FF";3;1;2194
"Allsvenskan 1995";1995-06-14;9;"Örgryte IS";"Malmö FF";0;0;2011
"Allsvenskan 1995";1995-06-14;9;"Hammarby IF";"Helsingborgs IF";2;1;7143
"Allsvenskan 1995";1995-06-14;9;"Örebro SK";AIK;3;0;6066
"Allsvenskan 1995";1995-06-14;9;"IFK Norrköping";"Västra Frölunda IF";0;3;2808
"Allsvenskan 1995";1995-06-14;9;"Halmstads BK";"Djurgårdens IF";1;2;4661
"Allsvenskan 1995";1995-06-14;9;"Östers IF";"Degerfors IF";2;2;3043
"Allsvenskan 1995";1995-06-19;10;"Västra Frölunda IF";"Halmstads BK";1;1;1914
"Allsvenskan 1995";1995-06-19;10;"Helsingborgs IF";"Örebro SK";3;0;7659
"Allsvenskan 1995";1995-06-19;10;"Malmö FF";"Trelleborgs FF";2;1;7850
