leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1991";1991-04-07;1;"Djurgårdens IF";"IFK Norrköping";0;3;3618
"Allsvenskan 1991";1991-04-07;1;GAIS;"GIF Sundsvall";1;1;2594
"Allsvenskan 1991";1991-04-07;1;"Halmstads BK";AIK;0;1;4918
"Allsvenskan 1991";1991-04-07;1;"Malmö FF";"IFK Göteborg";1;1;6881
"Allsvenskan 1991";1991-04-07;1;"Östers IF";"Örebro SK";1;1;2996
"Allsvenskan 1991";1991-04-13;2;"IFK Norrköping";"Östers IF";0;1;3709
"Allsvenskan 1991";1991-04-14;2;AIK;"Malmö FF";0;1;7507
"Allsvenskan 1991";1991-04-14;2;"IFK Göteborg";"Halmstads BK";2;0;3735
"Allsvenskan 1991";1991-04-14;2;"GIF Sundsvall";"Djurgårdens IF";2;1;3822
"Allsvenskan 1991";1991-04-14;2;"Örebro SK";GAIS;4;1;6172
"Allsvenskan 1991";1991-04-21;3;AIK;"IFK Norrköping";1;0;5040
"Allsvenskan 1991";1991-04-21;3;"IFK Göteborg";"Örebro SK";1;0;3105
"Allsvenskan 1991";1991-04-21;3;"Halmstads BK";GAIS;1;1;3363
"Allsvenskan 1991";1991-04-21;3;"Malmö FF";"GIF Sundsvall";6;0;3476
"Allsvenskan 1991";1991-04-21;3;"Östers IF";"Djurgårdens IF";1;1;2269
"Allsvenskan 1991";1991-04-24;4;"Djurgårdens IF";"IFK Göteborg";1;2;2584
"Allsvenskan 1991";1991-04-24;4;GAIS;"Östers IF";2;0;2147
"Allsvenskan 1991";1991-04-24;4;"IFK Norrköping";"Malmö FF";3;0;5179
"Allsvenskan 1991";1991-04-24;4;"GIF Sundsvall";"Halmstads BK";1;1;2108
"Allsvenskan 1991";1991-04-24;4;"Örebro SK";AIK;1;0;7004
"Allsvenskan 1991";1991-04-27;5;"IFK Göteborg";"IFK Norrköping";3;3;2703
"Allsvenskan 1991";1991-04-28;5;AIK;GAIS;2;1;4110
"Allsvenskan 1991";1991-04-28;5;"Halmstads BK";"Östers IF";1;1;2733
"Allsvenskan 1991";1991-04-28;5;"Malmö FF";"Djurgårdens IF";1;1;2233
"Allsvenskan 1991";1991-04-28;5;"Örebro SK";"GIF Sundsvall";3;1;5104
"Allsvenskan 1991";1991-05-05;6;"Djurgårdens IF";"Halmstads BK";1;1;1807
"Allsvenskan 1991";1991-05-05;6;GAIS;"Malmö FF";0;1;2437
"Allsvenskan 1991";1991-05-05;6;"IFK Norrköping";"Örebro SK";0;2;6764
"Allsvenskan 1991";1991-05-05;6;"GIF Sundsvall";AIK;0;3;2325
"Allsvenskan 1991";1991-05-05;6;"Östers IF";"IFK Göteborg";2;2;3678
"Allsvenskan 1991";1991-05-12;7;AIK;"Östers IF";2;1;4857
"Allsvenskan 1991";1991-05-12;7;"IFK Göteborg";"GIF Sundsvall";3;0;2789
"Allsvenskan 1991";1991-05-12;7;"Malmö FF";"Halmstads BK";2;0;3657
"Allsvenskan 1991";1991-05-12;7;"IFK Norrköping";GAIS;2;0;3502
"Allsvenskan 1991";1991-05-12;7;"Örebro SK";"Djurgårdens IF";1;1;7007
"Allsvenskan 1991";1991-05-16;8;"Djurgårdens IF";AIK;2;1;10384
"Allsvenskan 1991";1991-05-16;8;GAIS;"IFK Göteborg";1;0;9083
"Allsvenskan 1991";1991-05-16;8;"Halmstads BK";"Örebro SK";0;1;2609
"Allsvenskan 1991";1991-05-16;8;"Östers IF";"Malmö FF";1;1;3197
"Allsvenskan 1991";1991-05-20;9;"Djurgårdens IF";GAIS;4;2;2166
"Allsvenskan 1991";1991-05-20;9;"IFK Göteborg";AIK;1;0;3835
"Allsvenskan 1991";1991-05-20;9;"Malmö FF";"Örebro SK";0;0;5056
"Allsvenskan 1991";1991-05-20;9;"IFK Norrköping";"Halmstads BK";1;1;3084
"Allsvenskan 1991";1991-05-20;9;"Östers IF";"GIF Sundsvall";3;0;2358
