leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1997";1997-04-06;1;"Ljungskile SK";"IFK Norrköping";2;1;4228
"Allsvenskan 1997";1997-04-06;1;"Malmö FF";"Västerås SK";2;0;4317
"Allsvenskan 1997";1997-04-07;1;"Örgryte IS";"Trelleborgs FF";2;0;1729
"Allsvenskan 1997";1997-04-07;1;"IF Elfsborg";"IFK Göteborg";3;0;16232
"Allsvenskan 1997";1997-04-07;1;AIK;"Helsingborgs IF";2;1;7927
"Allsvenskan 1997";1997-04-07;1;"Östers IF";"Örebro SK";1;1;2823
"Allsvenskan 1997";1997-04-13;2;"Örebro SK";"Ljungskile SK";3;1;6974
"Allsvenskan 1997";1997-04-13;2;"IFK Norrköping";"Degerfors IF";2;0;3508
"Allsvenskan 1997";1997-04-13;2;"Helsingborgs IF";"Östers IF";2;0;10696
"Allsvenskan 1997";1997-04-13;2;"Halmstads BK";"Malmö FF";3;1;5702
"Allsvenskan 1997";1997-04-14;2;"Trelleborgs FF";AIK;0;3;2721
"Allsvenskan 1997";1997-04-14;2;"IFK Göteborg";"Örgryte IS";2;0;12564
"Allsvenskan 1997";1997-04-14;2;"Västerås SK";"IF Elfsborg";0;3;6381
"Allsvenskan 1997";1997-04-20;3;"Östers IF";"Trelleborgs FF";3;3;3742
"Allsvenskan 1997";1997-04-20;3;"Örebro SK";"IFK Norrköping";2;3;6710
"Allsvenskan 1997";1997-04-20;3;"Ljungskile SK";"Helsingborgs IF";0;1;2528
"Allsvenskan 1997";1997-04-20;3;"IF Elfsborg";"Halmstads BK";3;1;7218
"Allsvenskan 1997";1997-04-21;3;"Örgryte IS";"Västerås SK";2;1;1265
"Allsvenskan 1997";1997-04-21;3;"Malmö FF";"Degerfors IF";2;0;2624
"Allsvenskan 1997";1997-04-21;3;AIK;"IFK Göteborg";0;0;12578
"Allsvenskan 1997";1997-04-24;4;"Västerås SK";AIK;1;1;4089
"Allsvenskan 1997";1997-04-24;4;"Trelleborgs FF";"Ljungskile SK";3;1;1301
"Allsvenskan 1997";1997-04-24;4;"IFK Norrköping";"Malmö FF";2;2;2916
"Allsvenskan 1997";1997-04-24;4;"Helsingborgs IF";"Örebro SK";1;1;6715
"Allsvenskan 1997";1997-04-24;4;"Halmstads BK";"Örgryte IS";3;1;3059
"Allsvenskan 1997";1997-04-24;4;"IFK Göteborg";"Östers IF";3;0;3730
"Allsvenskan 1997";1997-04-24;4;"Degerfors IF";"IF Elfsborg";2;2;3467
"Allsvenskan 1997";1997-05-04;5;"Örebro SK";"Trelleborgs FF";4;1;5968
"Allsvenskan 1997";1997-05-04;5;"Ljungskile SK";"IFK Göteborg";3;4;5549
"Allsvenskan 1997";1997-05-04;5;AIK;"Halmstads BK";0;2;5523
"Allsvenskan 1997";1997-05-04;5;"Östers IF";"Västerås SK";2;0;2353
"Allsvenskan 1997";1997-05-05;5;"Örgryte IS";"Degerfors IF";3;1;1419
"Allsvenskan 1997";1997-05-05;5;"Helsingborgs IF";"IFK Norrköping";0;0;7578
"Allsvenskan 1997";1997-05-05;5;"IF Elfsborg";"Malmö FF";1;1;7759
"Allsvenskan 1997";1997-05-11;6;"Västerås SK";"Ljungskile SK";3;1;2826
"Allsvenskan 1997";1997-05-11;6;"IFK Norrköping";"IF Elfsborg";1;2;4363
"Allsvenskan 1997";1997-05-11;6;"Malmö FF";"Örgryte IS";3;0;3184
"Allsvenskan 1997";1997-05-11;6;"Halmstads BK";"Östers IF";2;1;4405
"Allsvenskan 1997";1997-05-12;6;"Trelleborgs FF";"Helsingborgs IF";2;0;3894
"Allsvenskan 1997";1997-05-12;6;"IFK Göteborg";"Örebro SK";5;2;6144
"Allsvenskan 1997";1997-05-12;6;"Degerfors IF";AIK;2;4;4393
"Allsvenskan 1997";1997-05-15;1;"Degerfors IF";"Halmstads BK";0;2;3443
"Allsvenskan 1997";1997-05-19;7;"Ljungskile SK";"Halmstads BK";5;2;1958
"Allsvenskan 1997";1997-05-19;7;AIK;"Malmö FF";1;1;13422
"Allsvenskan 1997";1997-05-19;7;"Örebro SK";"Västerås SK";5;0;6842
"Allsvenskan 1997";1997-05-19;7;"Östers IF";"Degerfors IF";3;2;2879
"Allsvenskan 1997";1997-05-19;7;"Trelleborgs FF";"IFK Norrköping";0;1;3206
"Allsvenskan 1997";1997-05-19;7;"Helsingborgs IF";"IFK Göteborg";2;0;14085
"Allsvenskan 1997";1997-05-19;7;"Örgryte IS";"IF Elfsborg";2;0;5151
"Allsvenskan 1997";1997-05-25;8;"IFK Norrköping";"Örgryte IS";1;2;2921
"Allsvenskan 1997";1997-05-25;8;"Malmö FF";"Östers IF";1;1;5017
"Allsvenskan 1997";1997-05-25;8;"IFK Göteborg";"Trelleborgs FF";4;1;5296
"Allsvenskan 1997";1997-05-25;8;"Degerfors IF";"Ljungskile SK";2;1;4301
"Allsvenskan 1997";1997-05-26;8;"Västerås SK";"Helsingborgs IF";0;1;3802
"Allsvenskan 1997";1997-05-26;8;"Halmstads BK";"Örebro SK";3;2;3252
"Allsvenskan 1997";1997-05-26;8;"IF Elfsborg";AIK;3;1;7070
"Allsvenskan 1997";1997-06-01;9;"Örebro SK";"Degerfors IF";1;0;10511
"Allsvenskan 1997";1997-06-01;9;"Trelleborgs FF";"Västerås SK";3;5;2230
"Allsvenskan 1997";1997-06-01;9;"IFK Norrköping";"IFK Göteborg";1;3;8112
"Allsvenskan 1997";1997-06-01;9;"Ljungskile SK";"Malmö FF";1;2;2353
"Allsvenskan 1997";1997-06-02;9;"Östers IF";"IF Elfsborg";2;4;4257
"Allsvenskan 1997";1997-06-02;9;"Örgryte IS";AIK;1;0;2320
"Allsvenskan 1997";1997-06-02;9;"Helsingborgs IF";"Halmstads BK";2;1;12533
"Allsvenskan 1997";1997-06-11;10;"Örgryte IS";"Östers IF";1;1;1910
"Allsvenskan 1997";1997-06-11;10;"Västerås SK";"IFK Göteborg";1;2;10034
"Allsvenskan 1997";1997-06-11;10;"Malmö FF";"Örebro SK";1;1;2845
"Allsvenskan 1997";1997-06-11;10;"Halmstads BK";"Trelleborgs FF";1;2;4094
