leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1990";1990-04-04;1;AIK;"IK Brage";1;0;3461
"Allsvenskan 1990";1990-04-04;1;"Örgryte IS";"Örebro SK";0;2;2100
"Allsvenskan 1990";1990-04-07;1;"IFK Norrköping";"IFK Göteborg";6;0;2491
"Allsvenskan 1990";1990-04-08;1;GAIS;"Östers IF";3;0;4839
"Allsvenskan 1990";1990-04-08;1;"Hammarby IF";"Halmstads BK";1;2;5467
"Allsvenskan 1990";1990-04-08;1;"Malmö FF";"Djurgårdens IF";0;0;5106
"Allsvenskan 1990";1990-04-13;2;"IK Brage";GAIS;1;1;3948
"Allsvenskan 1990";1990-04-16;2;"Djurgårdens IF";"IFK Norrköping";0;2;3824
"Allsvenskan 1990";1990-04-16;2;"IFK Göteborg";AIK;5;0;3528
"Allsvenskan 1990";1990-04-16;2;"Halmstads BK";"Örgryte IS";0;1;4260
"Allsvenskan 1990";1990-04-16;2;"Örebro SK";"Malmö FF";0;0;8374
"Allsvenskan 1990";1990-04-16;2;"Östers IF";"Hammarby IF";5;2;3394
"Allsvenskan 1990";1990-04-19;3;AIK;"Halmstads BK";2;1;2251
"Allsvenskan 1990";1990-04-19;3;GAIS;"IFK Norrköping";2;0;4506
"Allsvenskan 1990";1990-04-21;3;"Östers IF";"Örgryte IS";1;0;1991
"Allsvenskan 1990";1990-04-22;3;"IK Brage";"Örebro SK";0;1;3134
"Allsvenskan 1990";1990-04-22;3;"IFK Göteborg";"Djurgårdens IF";2;1;3930
"Allsvenskan 1990";1990-04-22;3;"Hammarby IF";"Malmö FF";0;1;4673
"Allsvenskan 1990";1990-04-29;4;"Djurgårdens IF";"IK Brage";1;1;1754
"Allsvenskan 1990";1990-04-29;4;"Halmstads BK";"IFK Göteborg";1;0;4589
"Allsvenskan 1990";1990-04-29;4;"Malmö FF";GAIS;0;0;4481
"Allsvenskan 1990";1990-04-29;4;"IFK Norrköping";AIK;4;1;6401
