leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1951/52",1951-07-29,1,"Degerfors IF","Malmö FF",0,2,7835
"Allsvenskan 1951/52",1951-07-29,1,"IF Elfsborg","IFK Norrköping",1,3,6037
"Allsvenskan 1951/52",1951-07-29,1,GAIS,"Djurgårdens IF",1,3,11911
"Allsvenskan 1951/52",1951-07-29,1,"Jönköpings Södra IF","Helsingborgs IF",2,1,5115
"Allsvenskan 1951/52",1951-07-29,1,"Råå IF","IFK Göteborg",2,4,8130
"Allsvenskan 1951/52",1951-07-29,1,"Åtvidabergs FF","Örebro SK",2,3,3501
"Allsvenskan 1951/52",1951-08-03,2,"Malmö FF","Råå IF",5,0,14246
"Allsvenskan 1951/52",1951-08-05,2,"Djurgårdens IF","IF Elfsborg",2,0,11420
"Allsvenskan 1951/52",1951-08-05,2,"IFK Göteborg","Jönköpings Södra IF",2,1,13826
"Allsvenskan 1951/52",1951-08-05,2,"Helsingborgs IF","Åtvidabergs FF",5,0,9539
"Allsvenskan 1951/52",1951-08-05,2,"IFK Norrköping","Degerfors IF",3,1,5016
"Allsvenskan 1951/52",1951-08-05,2,"Örebro SK",GAIS,0,3,7002
"Allsvenskan 1951/52",1951-08-10,3,GAIS,"IFK Göteborg",2,2,21188
"Allsvenskan 1951/52",1951-08-10,3,"Helsingborgs IF","Råå IF",4,1,10224
"Allsvenskan 1951/52",1951-08-12,3,"Djurgårdens IF","IFK Norrköping",0,3,19634
"Allsvenskan 1951/52",1951-08-12,3,"Jönköpings Södra IF","Degerfors IF",2,2,4434
"Allsvenskan 1951/52",1951-08-12,3,"Åtvidabergs FF","IF Elfsborg",2,2,2863
"Allsvenskan 1951/52",1951-08-12,3,"Örebro SK","Malmö FF",1,6,10263
"Allsvenskan 1951/52",1951-08-17,4,"IF Elfsborg",GAIS,1,3,6309
"Allsvenskan 1951/52",1951-08-17,4,"Malmö FF","Helsingborgs IF",2,0,20779
"Allsvenskan 1951/52",1951-08-19,4,"IFK Norrköping","Örebro SK",2,2,7005
"Allsvenskan 1951/52",1951-08-19,4,"Degerfors IF","Åtvidabergs FF",5,1,2412
"Allsvenskan 1951/52",1951-08-19,4,"IFK Göteborg","Djurgårdens IF",3,4,18166
"Allsvenskan 1951/52",1951-08-19,4,"Råå IF","Jönköpings Södra IF",1,3,7550
"Allsvenskan 1951/52",1951-08-26,5,"IF Elfsborg","IFK Göteborg",2,1,6901
"Allsvenskan 1951/52",1951-08-26,5,GAIS,"Degerfors IF",1,1,12446
"Allsvenskan 1951/52",1951-08-26,5,"Helsingborgs IF","IFK Norrköping",0,1,11300
"Allsvenskan 1951/52",1951-08-26,5,"Jönköpings Södra IF","Malmö FF",0,1,11689
"Allsvenskan 1951/52",1951-08-26,5,"Åtvidabergs FF","Råå IF",2,2,2611
"Allsvenskan 1951/52",1951-08-26,5,"Örebro SK","Djurgårdens IF",3,0,9742
"Allsvenskan 1951/52",1951-09-09,6,"Degerfors IF","IF Elfsborg",1,0,2613
"Allsvenskan 1951/52",1951-09-09,6,"Djurgårdens IF","Helsingborgs IF",0,1,17001
