leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1926/27",1926-08-01,1,AIK,"IK Sleipner",2,1,3620
"Allsvenskan 1926/27",1926-08-01,1,"IF Elfsborg","Örgryte IS",0,1,3887
"Allsvenskan 1926/27",1926-08-01,1,"IFK Göteborg","Landskrona BoIS",4,2,5494
"Allsvenskan 1926/27",1926-08-01,1,"Helsingborgs IF","Westermalms IF",7,0,4720
"Allsvenskan 1926/27",1926-08-01,1,"IFK Norrköping",GAIS,0,3,1717
"Allsvenskan 1926/27",1926-08-01,1,"IFK Uddevalla","IFK Eskilstuna",1,7,984
"Allsvenskan 1926/27",1926-08-08,2,"IFK Eskilstuna","IFK Norrköping",3,3,1535
"Allsvenskan 1926/27",1926-08-08,2,"Landskrona BoIS","IF Elfsborg",2,2,1647
"Allsvenskan 1926/27",1926-08-08,2,"IK Sleipner","Helsingborgs IF",2,0,2837
"Allsvenskan 1926/27",1926-08-08,2,"Westermalms IF","IFK Uddevalla",4,1,3197
"Allsvenskan 1926/27",1926-08-08,2,"Örgryte IS",AIK,2,1,6261
"Allsvenskan 1926/27",1926-08-20,2,GAIS,"IFK Göteborg",1,1,9020
"Allsvenskan 1926/27",1926-08-15,3,AIK,"IFK Eskilstuna",2,1,5339
"Allsvenskan 1926/27",1926-08-15,3,"IF Elfsborg","Westermalms IF",5,1,2968
"Allsvenskan 1926/27",1926-08-15,3,GAIS,"IFK Uddevalla",6,0,5677
"Allsvenskan 1926/27",1926-08-15,3,"Helsingborgs IF","IFK Göteborg",4,2,5738
"Allsvenskan 1926/27",1926-08-15,3,"IFK Norrköping","IK Sleipner",3,1,3757
"Allsvenskan 1926/27",1926-08-20,4,"Westermalms IF",AIK,1,0,6503
"Allsvenskan 1926/27",1926-08-22,4,"IFK Eskilstuna","Örgryte IS",1,2,3171
"Allsvenskan 1926/27",1926-08-22,4,"IFK Göteborg","IFK Norrköping",4,0,6020
"Allsvenskan 1926/27",1926-08-22,4,"Landskrona BoIS","Helsingborgs IF",1,2,5653
"Allsvenskan 1926/27",1926-08-22,4,"IK Sleipner","IF Elfsborg",2,1,2463
"Allsvenskan 1926/27",1926-08-25,5,GAIS,"IF Elfsborg",7,0,4555
"Allsvenskan 1926/27",1926-08-29,5,AIK,"IFK Göteborg",2,3,8749
"Allsvenskan 1926/27",1926-08-29,5,"Helsingborgs IF","IFK Uddevalla",1,0,4686
"Allsvenskan 1926/27",1926-08-29,5,"Landskrona BoIS","IFK Norrköping",1,2,1722
"Allsvenskan 1926/27",1926-08-29,5,"IK Sleipner","IFK Eskilstuna",8,2,2726
"Allsvenskan 1926/27",1926-08-29,5,"Örgryte IS","Westermalms IF",4,1,7010
"Allsvenskan 1926/27",1926-09-05,6,AIK,"Landskrona BoIS",4,0,1305
"Allsvenskan 1926/27",1926-09-05,6,"IF Elfsborg","Helsingborgs IF",1,4,3933
"Allsvenskan 1926/27",1926-09-05,6,"IFK Eskilstuna","Westermalms IF",4,1,2142
"Allsvenskan 1926/27",1926-09-05,6,GAIS,"IK Sleipner",2,1,6373
"Allsvenskan 1926/27",1926-09-05,6,"IFK Norrköping","Örgryte IS",3,4,2149
"Allsvenskan 1926/27",1926-09-05,6,"IFK Uddevalla","IFK Göteborg",1,2,2116
