leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1968",1968-04-15,1,AIK,"Malmö FF",0,1,11185
"Allsvenskan 1968",1968-04-15,1,"IF Elfsborg","IFK Göteborg",2,1,9860
"Allsvenskan 1968",1968-04-15,1,"Helsingborgs IF","Djurgårdens IF",0,2,9024
"Allsvenskan 1968",1968-04-15,1,"IFK Norrköping",GAIS,1,0,7126
"Allsvenskan 1968",1968-04-15,1,"Örgryte IS","Örebro SK",1,4,7111
"Allsvenskan 1968",1968-04-15,1,"Östers IF","Åtvidabergs FF",3,1,14378
"Allsvenskan 1968",1968-04-18,2,"IFK Göteborg","IFK Norrköping",1,1,12996
"Allsvenskan 1968",1968-04-21,2,"Djurgårdens IF","IF Elfsborg",1,1,8371
"Allsvenskan 1968",1968-04-21,2,GAIS,"Östers IF",1,3,16361
"Allsvenskan 1968",1968-04-21,2,"Malmö FF","Örgryte IS",5,1,12240
"Allsvenskan 1968",1968-04-21,2,"Åtvidabergs FF",AIK,2,1,5249
"Allsvenskan 1968",1968-04-21,2,"Örebro SK","Helsingborgs IF",2,1,5936
"Allsvenskan 1968",1968-04-25,3,"Örgryte IS",AIK,1,1,9006
"Allsvenskan 1968",1968-04-28,3,"Djurgårdens IF",GAIS,4,1,7046
"Allsvenskan 1968",1968-04-28,3,"IF Elfsborg","Åtvidabergs FF",1,3,8321
"Allsvenskan 1968",1968-04-28,3,"IFK Göteborg","Örebro SK",1,3,9896
"Allsvenskan 1968",1968-04-28,3,"Helsingborgs IF","Östers IF",1,3,16145
"Allsvenskan 1968",1968-04-28,3,"IFK Norrköping","Malmö FF",4,1,10195
"Allsvenskan 1968",1968-05-05,4,AIK,"Helsingborgs IF",0,4,5197
"Allsvenskan 1968",1968-05-05,4,GAIS,"Örgryte IS",1,1,14565
"Allsvenskan 1968",1968-05-05,4,"Malmö FF","IFK Göteborg",1,1,12261
"Allsvenskan 1968",1968-05-05,4,"Åtvidabergs FF","IFK Norrköping",3,1,11049
"Allsvenskan 1968",1968-05-05,4,"Örebro SK","Djurgårdens IF",1,0,6144
"Allsvenskan 1968",1968-05-05,4,"Östers IF","IF Elfsborg",1,2,17609
"Allsvenskan 1968",1968-05-09,5,"Djurgårdens IF","Malmö FF",2,2,10192
"Allsvenskan 1968",1968-05-09,5,"IF Elfsborg",AIK,1,1,9045
