leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1969",1969-04-13,1,AIK,"Jönköpings Södra IF",0,0,7516
"Allsvenskan 1969",1969-04-13,1,"IF Elfsborg",GAIS,0,1,5950
"Allsvenskan 1969",1969-04-13,1,"IFK Göteborg","Åtvidabergs FF",2,3,9009
"Allsvenskan 1969",1969-04-13,1,"Malmö FF","IK Sirius",3,0,8676
"Allsvenskan 1969",1969-04-13,1,"IFK Norrköping","Örebro SK",3,0,8788
"Allsvenskan 1969",1969-04-13,1,"Östers IF","Djurgårdens IF",1,0,9446
"Allsvenskan 1969",1969-04-20,2,"Djurgårdens IF","IFK Göteborg",0,4,4384
"Allsvenskan 1969",1969-04-20,2,GAIS,"IFK Norrköping",2,1,10794
"Allsvenskan 1969",1969-04-20,2,"Jönköpings Södra IF","Malmö FF",1,1,6707
"Allsvenskan 1969",1969-04-20,2,"IK Sirius","Östers IF",0,0,7554
"Allsvenskan 1969",1969-04-20,2,"Åtvidabergs FF","IF Elfsborg",0,2,3651
"Allsvenskan 1969",1969-04-20,2,"Örebro SK",AIK,1,0,3348
"Allsvenskan 1969",1969-04-27,3,AIK,GAIS,2,2,5208
"Allsvenskan 1969",1969-04-27,3,"IF Elfsborg","IK Sirius",1,1,5900
"Allsvenskan 1969",1969-04-27,3,"IFK Göteborg","Jönköpings Södra IF",1,1,10446
"Allsvenskan 1969",1969-04-27,3,"Malmö FF","IFK Norrköping",3,0,12184
"Allsvenskan 1969",1969-04-27,3,"Åtvidabergs FF","Djurgårdens IF",3,2,3984
"Allsvenskan 1969",1969-04-27,3,"Östers IF","Örebro SK",0,1,10487
"Allsvenskan 1969",1969-05-04,4,"Djurgårdens IF","IF Elfsborg",4,1,6968
"Allsvenskan 1969",1969-05-04,4,GAIS,"Åtvidabergs FF",2,3,12687
"Allsvenskan 1969",1969-05-04,4,"Jönköpings Södra IF","Östers IF",0,5,13534
"Allsvenskan 1969",1969-05-04,4,"IFK Norrköping",AIK,1,1,8766
"Allsvenskan 1969",1969-05-04,4,"IK Sirius","IFK Göteborg",0,1,10031
"Allsvenskan 1969",1969-05-04,4,"Örebro SK","Malmö FF",1,2,8964
"Allsvenskan 1969",1969-05-11,5,"Djurgårdens IF",GAIS,6,0,4837
"Allsvenskan 1969",1969-05-11,5,"IF Elfsborg","Jönköpings Södra IF",1,0,7557
"Allsvenskan 1969",1969-05-11,5,"IFK Göteborg","Örebro SK",1,0,12436
"Allsvenskan 1969",1969-05-11,5,"Malmö FF",AIK,1,1,14012
"Allsvenskan 1969",1969-05-11,5,"Åtvidabergs FF","IK Sirius",2,0,4300
"Allsvenskan 1969",1969-05-11,5,"Östers IF","IFK Norrköping",1,1,13716
"Allsvenskan 1969",1969-05-15,6,"AIK ","Östers IF",1,2,12554
"Allsvenskan 1969",1969-05-15,6,GAIS,"Malmö FF",3,0,12555
"Allsvenskan 1969",1969-05-15,6,"Jönköpings Södra IF","Åtvidabergs FF ",1,1,6322
"Allsvenskan 1969",1969-05-15,6,"IFK Norrköping","IFK Göteborg",0,2,7681
"Allsvenskan 1969",1969-05-15,6,"IK Sirius","Djurgårdens IF",0,1,9170
"Allsvenskan 1969",1969-05-15,6,"Örebro SK","IF Elfsborg",3,1,5016
"Allsvenskan 1969",1969-05-26,7,"Djurgårdens IF","Jönköpings Södra IF",3,0,6604
"Allsvenskan 1969",1969-05-26,7,"IF Elfsborg","IFK Norrköping",1,0,8558
"Allsvenskan 1969",1969-05-26,7,"IFK Göteborg",AIK,2,0,15554
"Allsvenskan 1969",1969-05-26,7,"IK Sirius",GAIS,0,1,8202
"Allsvenskan 1969",1969-05-26,7,"Åtvidabergs FF","Örebro SK",2,1,6185
"Allsvenskan 1969",1969-05-26,7,"Östers IF","Malmö FF",1,2,16868
"Allsvenskan 1969",1969-05-29,8,AIK,"IF Elfsborg",0,2,6651
"Allsvenskan 1969",1969-05-29,8,GAIS,"Östers IF",1,0,16774
"Allsvenskan 1969",1969-05-29,8,"Jönköpings Södra IF","IK Sirius",0,3,4968
"Allsvenskan 1969",1969-05-29,8,"Malmö FF","IFK Göteborg",1,0,17381
"Allsvenskan 1969",1969-05-29,8,"IFK Norrköping","Åtvidabergs FF",4,2,12410
"Allsvenskan 1969",1969-05-29,8,"Örebro SK","Djurgårdens IF",1,0,5941
"Allsvenskan 1969",1969-06-04,9,"Djurgårdens IF",AIK,2,0,20520
"Allsvenskan 1969",1969-06-04,9,"IF Elfsborg","Östers IF",1,1,10212
"Allsvenskan 1969",1969-06-04,9,"IFK Göteborg",GAIS,2,0,43130
"Allsvenskan 1969",1969-06-04,9,"Jönköpings Södra IF","Örebro SK",0,1,4294
"Allsvenskan 1969",1969-06-04,9,"IK Sirius","IFK Norrköping",0,1,8733
"Allsvenskan 1969",1969-06-04,9,"Åtvidabergs FF","Malmö FF",2,0,6692
"Allsvenskan 1969",1969-06-08,10,AIK,"Åtvidabergs FF",0,1,10051
"Allsvenskan 1969",1969-06-08,10,GAIS,"Jönköpings Södra IF",4,0,6970
"Allsvenskan 1969",1969-06-08,10,"Malmö FF","IF Elfsborg",2,2,9731
"Allsvenskan 1969",1969-06-08,10,"IFK Norrköping","Djurgårdens IF",3,0,8389
"Allsvenskan 1969",1969-06-08,10,"Örebro SK","IK Sirius",5,1,5368
"Allsvenskan 1969",1969-06-08,10,"Östers IF","IFK Göteborg",4,1,11384
"Allsvenskan 1969",1969-06-12,11,AIK,"IK Sirius",1,0,10965
"Allsvenskan 1969",1969-06-12,11,"IFK Göteborg","IF Elfsborg",2,0,17368
"Allsvenskan 1969",1969-06-12,11,"Jönköpings Södra IF","IFK Norrköping",1,3,4522
"Allsvenskan 1969",1969-06-12,11,"Malmö FF","Djurgårdens IF",1,2,12310
"Allsvenskan 1969",1969-06-12,11,"Åtvidabergs FF","Östers IF",5,2,10780
"Allsvenskan 1969",1969-06-12,11,"Örebro SK",GAIS,1,1,7269
"Allsvenskan 1969",1969-08-14,12,"Djurgårdens IF","Malmö FF",1,1,14873
"Allsvenskan 1969",1969-08-14,12,"IF Elfsborg","IFK Göteborg",2,3,9614
"Allsvenskan 1969",1969-08-14,12,GAIS,"Örebro SK",0,1,8290
"Allsvenskan 1969",1969-08-14,12,"IFK Norrköping","Jönköpings Södra IF",5,3,7766
"Allsvenskan 1969",1969-08-14,12,"IK Sirius",AIK,1,4,9372
"Allsvenskan 1969",1969-08-14,12,"Östers IF","Åtvidabergs FF",3,2,15100
"Allsvenskan 1969",1969-08-21,13,AIK,"Örebro SK",2,2,5280
"Allsvenskan 1969",1969-08-21,13,"IF Elfsborg","Åtvidabergs FF",0,1,6879
"Allsvenskan 1969",1969-08-21,13,"IFK Göteborg","Djurgårdens IF",0,0,12349
