leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1999";1999-04-10;1;"Helsingborgs IF";"IFK Göteborg";3;1;13918
"Allsvenskan 1999";1999-04-11;1;"Djurgårdens IF";"IFK Norrköping";3;0;11479
"Allsvenskan 1999";1999-04-11;1;"Trelleborgs FF";"Hammarby IF";2;2;3694
"Allsvenskan 1999";1999-04-11;1;"Örgryte IS";"Halmstads BK";1;0;2848
"Allsvenskan 1999";1999-04-12;1;AIK;"Örebro SK";1;1;13512
"Allsvenskan 1999";1999-04-12;1;"IF Elfsborg";"Kalmar FF";3;0;5295
"Allsvenskan 1999";1999-04-12;1;"Västra Frölunda IF";"Malmö FF";2;1;1788
"Allsvenskan 1999";1999-04-18;2;"IFK Norrköping";"Örgryte IS";0;2;2111
"Allsvenskan 1999";1999-04-18;2;"Kalmar FF";"Trelleborgs FF";3;2;4869
"Allsvenskan 1999";1999-04-20;2;"Malmö FF";AIK;2;1;7761
"Allsvenskan 1999";1999-04-21;2;"Hammarby IF";"Helsingborgs IF";2;1;10011
"Allsvenskan 1999";1999-04-22;2;"Halmstads BK";"Västra Frölunda IF";1;2;3217
"Allsvenskan 1999";1999-04-22;2;"IFK Göteborg";"Djurgårdens IF";0;0;6081
"Allsvenskan 1999";1999-04-24;3;"Örgryte IS";"Malmö FF";4;4;3629
"Allsvenskan 1999";1999-04-25;3;AIK;"Kalmar FF";4;0;9848
"Allsvenskan 1999";1999-04-25;3;"IF Elfsborg";"Hammarby IF";3;0;12222
"Allsvenskan 1999";1999-04-25;3;"Halmstads BK";"IFK Norrköping";1;1;3427
"Allsvenskan 1999";1999-04-25;3;"Helsingborgs IF";"Djurgårdens IF";4;1;9835
"Allsvenskan 1999";1999-04-25;3;"Trelleborgs FF";"IFK Göteborg";3;1;2847
"Allsvenskan 1999";1999-04-25;3;"Västra Frölunda IF";"Örebro SK";2;0;2177
"Allsvenskan 1999";1999-05-02;4;"Kalmar FF";"Västra Frölunda IF";3;1;5399
"Allsvenskan 1999";1999-05-02;4;"Malmö FF";"Halmstads BK";0;1;6036
"Allsvenskan 1999";1999-05-03;4;"Djurgårdens IF";"Trelleborgs FF";2;2;6158
"Allsvenskan 1999";1999-05-03;4;"IFK Göteborg";"IF Elfsborg";2;0;9164
"Allsvenskan 1999";1999-05-03;4;"IFK Norrköping";"Helsingborgs IF";1;0;4185
"Allsvenskan 1999";1999-05-03;4;"Örebro SK";"Örgryte IS";0;1;4878
"Allsvenskan 1999";1999-05-04;4;"Hammarby IF";AIK;0;2;31412
"Allsvenskan 1999";1999-05-09;5;"Halmstads BK";"Hammarby IF";3;1;4025
"Allsvenskan 1999";1999-05-09;5;"Malmö FF";"Kalmar FF";0;1;3665
"Allsvenskan 1999";1999-05-09;5;"Örebro SK";"IFK Norrköping";2;1;2801
"Allsvenskan 1999";1999-05-10;5;AIK;"Helsingborgs IF";2;1;9265
"Allsvenskan 1999";1999-05-10;5;"IF Elfsborg";"Trelleborgs FF";1;2;4096
"Allsvenskan 1999";1999-05-10;5;"Västra Frölunda IF";"Djurgårdens IF";1;1;1308
"Allsvenskan 1999";1999-05-11;5;"Örgryte IS";"IFK Göteborg";2;2;10292
"Allsvenskan 1999";1999-05-16;6;"IFK Norrköping";"IF Elfsborg";1;1;2865
"Allsvenskan 1999";1999-05-16;6;"Kalmar FF";"Örebro SK";2;0;6366
"Allsvenskan 1999";1999-05-17;6;"Djurgårdens IF";"Örgryte IS";0;3;5749
"Allsvenskan 1999";1999-05-17;6;"Helsingborgs IF";"Västra Frölunda IF";1;0;7246
"Allsvenskan 1999";1999-05-17;6;"IFK Göteborg";"Halmstads BK";1;1;6669
"Allsvenskan 1999";1999-05-17;6;"Trelleborgs FF";AIK;1;0;2847
"Allsvenskan 1999";1999-05-18;6;"Hammarby IF";"Malmö FF";0;1;10011
"Allsvenskan 1999";1999-05-19;2;"Örebro SK";"IF Elfsborg";1;0;4211
"Allsvenskan 1999";1999-05-23;7;"Västra Frölunda IF";"IFK Norrköping";1;1;1755
"Allsvenskan 1999";1999-05-24;7;AIK;"Örgryte IS";1;1;12983
"Allsvenskan 1999";1999-05-24;7;"Djurgårdens IF";"Kalmar FF";0;3;5840
"Allsvenskan 1999";1999-05-24;7;"IF Elfsborg";"Halmstads BK";1;4;4791
"Allsvenskan 1999";1999-05-24;7;"Helsingborgs IF";"Örebro SK";2;1;8272
"Allsvenskan 1999";1999-05-24;7;"IFK Göteborg";"Hammarby IF";2;2;6555
"Allsvenskan 1999";1999-05-24;7;"Trelleborgs FF";"Malmö FF";3;1;7592
"Allsvenskan 1999";1999-05-30;8;"Halmstads BK";AIK;1;0;4079
"Allsvenskan 1999";1999-05-30;8;"Kalmar FF";"Helsingborgs IF";0;2;5456
"Allsvenskan 1999";1999-05-30;8;"Malmö FF";"IF Elfsborg";4;2;3092
"Allsvenskan 1999";1999-05-31;8;"Djurgårdens IF";"Hammarby IF";1;0;23066
"Allsvenskan 1999";1999-05-31;8;"IFK Norrköping";"IFK Göteborg";3;0;5722
"Allsvenskan 1999";1999-05-31;8;"Örebro SK";"Trelleborgs FF";1;0;4430
"Allsvenskan 1999";1999-05-31;8;"Örgryte IS";"Västra Frölunda IF";4;0;6618
"Allsvenskan 1999";1999-06-08;9;AIK;"IFK Göteborg";2;0;14304
"Allsvenskan 1999";1999-06-08;9;"Västra Frölunda IF";"Hammarby IF";1;1;2195
"Allsvenskan 1999";1999-06-09;9;"IF Elfsborg";"Djurgårdens IF";2;1;4545
"Allsvenskan 1999";1999-06-09;9;"Halmstads BK";"Örebro SK";5;1;3387
"Allsvenskan 1999";1999-06-09;9;"Malmö FF";"IFK Norrköping";0;0;4868
"Allsvenskan 1999";1999-06-09;9;"Örgryte IS";"Kalmar FF";3;0;4418
"Allsvenskan 1999";1999-06-10;9;"Trelleborgs FF";"Helsingborgs IF";2;3;5386
"Allsvenskan 1999";1999-06-13;10;"Hammarby IF";"Örgryte IS";0;0;8336
"Allsvenskan 1999";1999-06-13;10;"Kalmar FF";"Halmstads BK";2;0;5001
"Allsvenskan 1999";1999-06-13;10;"Örebro SK";"Malmö FF";2;0;3951
"Allsvenskan 1999";1999-06-14;10;AIK;"Djurgårdens IF";3;1;28054
"Allsvenskan 1999";1999-06-14;10;"IFK Göteborg";"Västra Frölunda IF";1;0;8288
"Allsvenskan 1999";1999-06-14;10;"IFK Norrköping";"Trelleborgs FF";2;5;4286
"Allsvenskan 1999";1999-06-15;10;"Helsingborgs IF";"IF Elfsborg";1;1;9686
"Allsvenskan 1999";1999-06-16;11;"Örebro SK";"Hammarby IF";3;1;9178
"Allsvenskan 1999";1999-06-17;11;"Halmstads BK";"Djurgårdens IF";4;1;4076
"Allsvenskan 1999";1999-06-20;11;"Kalmar FF";"IFK Norrköping";1;1;6439
"Allsvenskan 1999";1999-06-20;11;"Örgryte IS";"Helsingborgs IF";0;1;5170
"Allsvenskan 1999";1999-06-21;11;"IF Elfsborg";AIK;2;2;6251
"Allsvenskan 1999";1999-06-21;11;"Västra Frölunda IF";"Trelleborgs FF";2;1;1672
"Allsvenskan 1999";1999-06-22;11;"Malmö FF";"IFK Göteborg";1;1;12975
"Allsvenskan 1999";1999-06-23;12;"Hammarby IF";"Kalmar FF";2;2;8112
"Allsvenskan 1999";1999-06-23;12;"Helsingborgs IF";"Halmstads BK";1;0;12623
"Allsvenskan 1999";1999-06-27;12;"Trelleborgs FF";"Örgryte IS";0;0;2772
"Allsvenskan 1999";1999-06-28;12;"IF Elfsborg";"Västra Frölunda IF";2;3;5326
"Allsvenskan 1999";1999-06-28;12;"IFK Norrköping";AIK;0;1;11761
