leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2010",2010-03-13,1,"Kalmar FF","IFK Göteborg",0,3,4518
"Allsvenskan 2010",2010-03-14,1,"Halmstads BK","Trelleborgs FF",0,0,3347
"Allsvenskan 2010",2010-03-14,1,"BK Häcken","Djurgårdens IF",2,1,2412
"Allsvenskan 2010",2010-03-14,1,"Helsingborgs IF","IF Brommapojkarna",1,0,6731
"Allsvenskan 2010",2010-03-14,1,AIK,"Mjällby AIF",0,0,17111
"Allsvenskan 2010",2010-03-15,1,GAIS,"Malmö FF",0,0,4980
"Allsvenskan 2010",2010-03-15,1,"Örebro SK","Åtvidabergs FF",2,0,6094
"Allsvenskan 2010",2010-03-15,1,"Gefle IF","IF Elfsborg",0,0,3112
"Allsvenskan 2010",2010-03-20,2,"IF Brommapojkarna",AIK,0,0,4304
"Allsvenskan 2010",2010-03-21,2,"Mjällby AIF",GAIS,3,0,4049
"Allsvenskan 2010",2010-03-21,2,"Trelleborgs FF","Kalmar FF",1,1,2055
"Allsvenskan 2010",2010-03-21,2,"Djurgårdens IF","Helsingborgs IF",0,1,0
"Allsvenskan 2010",2010-03-22,2,"Åtvidabergs FF","Gefle IF",0,1,2304
"Allsvenskan 2010",2010-03-22,2,"IF Elfsborg","Halmstads BK",6,0,7398
"Allsvenskan 2010",2010-03-22,2,"IFK Göteborg","BK Häcken",0,1,11706
"Allsvenskan 2010",2010-03-23,2,"Malmö FF","Örebro SK",3,0,13783
"Allsvenskan 2010",2010-03-27,3,"Kalmar FF","IF Elfsborg",2,2,3832
"Allsvenskan 2010",2010-03-28,3,"Halmstads BK","Åtvidabergs FF",4,0,2878
"Allsvenskan 2010",2010-03-28,3,"Gefle IF","Malmö FF",1,3,2702
"Allsvenskan 2010",2010-03-29,3,GAIS,AIK,3,1,3950
"Allsvenskan 2010",2010-03-29,3,"Örebro SK","Mjällby AIF",0,2,5627
"Allsvenskan 2010",2010-03-29,3,"Helsingborgs IF","IFK Göteborg",2,0,8648
"Allsvenskan 2010",2010-03-30,3,"BK Häcken","Trelleborgs FF",4,2,1723
"Allsvenskan 2010",2010-03-31,3,"Djurgårdens IF","IF Brommapojkarna",0,0,7190
"Allsvenskan 2010",2010-04-05,4,AIK,"Örebro SK",0,1,8349
"Allsvenskan 2010",2010-04-05,4,"Mjällby AIF","Gefle IF",1,3,4972
"Allsvenskan 2010",2010-04-05,4,"Trelleborgs FF","Helsingborgs IF",0,0,3780
"Allsvenskan 2010",2010-04-06,4,"IF Brommapojkarna",GAIS,1,0,1085
"Allsvenskan 2010",2010-04-06,4,"IFK Göteborg","Djurgårdens IF",1,1,10384
"Allsvenskan 2010",2010-04-06,4,"Malmö FF","Halmstads BK",1,1,11671
"Allsvenskan 2010",2010-04-06,4,"IF Elfsborg","BK Häcken",0,0,7626
"Allsvenskan 2010",2010-04-06,4,"Åtvidabergs FF","Kalmar FF",0,0,3035
"Allsvenskan 2010",2010-04-10,5,"BK Häcken","Åtvidabergs FF",0,0,2039
"Allsvenskan 2010",2010-04-11,5,"Helsingborgs IF","IF Elfsborg",2,1,7479
"Allsvenskan 2010",2010-04-11,5,"Gefle IF",AIK,1,0,4233
"Allsvenskan 2010",2010-04-11,5,"IFK Göteborg","IF Brommapojkarna",1,1,8796
"Allsvenskan 2010",2010-04-11,5,"Kalmar FF","Malmö FF",2,3,4577
"Allsvenskan 2010",2010-04-11,5,"Halmstads BK","Mjällby AIF",1,2,3876
"Allsvenskan 2010",2010-04-12,5,"Djurgårdens IF","Trelleborgs FF",3,0,5375
"Allsvenskan 2010",2010-04-12,5,"Örebro SK",GAIS,0,2,6564
"Allsvenskan 2010",2010-04-14,6,AIK,"Halmstads BK",0,1,9588
"Allsvenskan 2010",2010-04-14,6,"Malmö FF","BK Häcken",3,1,11127
"Allsvenskan 2010",2010-04-14,6,"Åtvidabergs FF","Helsingborgs IF",0,3,3294
"Allsvenskan 2010",2010-04-15,6,"IF Elfsborg","Djurgårdens IF",3,1,6851
"Allsvenskan 2010",2010-04-15,6,"Trelleborgs FF","IFK Göteborg",2,1,3007
